"outcomes" -- "depression"
"computer architecture" -- "computer systems"
"computer architecture" -- "reconfigurable computing"
"computer architecture" -- "digital design"
"computer architecture" -- "vlsi design"
"computer architecture" -- "parallel processing"
"computer architecture" -- "computer engineering"
"computer architecture" -- "embedded systems"
"computer architecture" -- "compilers"
"computer architecture" -- "parallel programming"
"computer architecture" -- "vlsi"
"work" -- "occupational"
"work" -- "organizations"
"work" -- "gender"
"work" -- "organizational psychology"
"work" -- "employment"
"fem" -- "cfd"
"paleoceanography" -- "paleoclimate"
"paleoceanography" -- "paleoclimatology"
"semiconductor lasers" -- "photonics"
"marketing" -- "management"
"marketing" -- "advertising"
"marketing" -- "consumer behaviour"
"marketing" -- "consumer behavior"
"marketing" -- "retailing"
"marketing" -- "international marketing"
"marketing" -- "services"
"marketing" -- "marketing research"
"marketing" -- "pricing"
"marketing" -- "tourism"
"marketing" -- "branding"
"biomedical devices" -- "mems"
"service management" -- "networks"
"consumption" -- "environment"
"cognitive radio networks" -- "wireless networks"
"international political economy" -- "international relations"
"maternal" -- "child health"
"qualitative methods" -- "gender"
"ethnomusicology" -- "popular music"
"flow cytometry" -- "immunology"
"surgical oncology" -- "surgery"
"surgical oncology" -- "general surgery"
"systems neuroscience" -- "computational neuroscience"
"enzymology" -- "biochemistry"
"filosofía" -- "sociología"
"3d printing" -- "additive manufacturing"
"3d printing" -- "tissue engineering"
"mineral processing" -- "flotation"
"systems biology" -- "bioinformatics"
"systems biology" -- "cell cycle"
"systems biology" -- "synthetic biology"
"social theory" -- "sociology"
"astrodynamics" -- "celestial mechanics"
"solid mechanics" -- "soft materials"
"solid mechanics" -- "nanomechanics"
"solid mechanics" -- "mechanics of materials"
"solid mechanics" -- "computational mechanics"
"solid mechanics" -- "experimental mechanics"
"fermentation" -- "biofuels"
"applied cryptography" -- "privacy"
"innovation policy" -- "science"
"sociology" -- "education"
"sociology" -- "anthropology"
"sociology" -- "social inequality"
"sociology" -- "criminology"
"sociology" -- "methods"
"ontologies" -- "conceptual modeling"
"ontologies" -- "semantic web"
"carbon" -- "biogeochemistry"
"cloud" -- "aerosols"
"microstructure" -- "materials science"
"precision agriculture" -- "remote sensing"
"mathematics" -- "physics"
"mathematics" -- "mathematical physics"
"motivation" -- "self-regulation"
"motivation" -- "emotion"
"motivation" -- "self-control"
"geography" -- "environmental studies"
"geography" -- "urban studies"
"structural health monitoring" -- "smart structures"
"structural health monitoring" -- "wave propagation"
"supercapacitors" -- "batteries"
"supercapacitors" -- "metal oxides"
"supercapacitors" -- "carbon materials"
"thermodynamics" -- "heat transfer"
"thermodynamics" -- "kinetics"
"citizenship" -- "migration"
"traffic safety" -- "transportation engineering"
"traffic safety" -- "intelligent transportation systems"
"forest ecology" -- "dendrochronology"
"forest ecology" -- "fire ecology"
"forest ecology" -- "silviculture"
"forest ecology" -- "forest management"
"child welfare" -- "social work"
"numerical methods" -- "computational methods"
"numerical methods" -- "computational mechanics"
"food chemistry" -- "food science"
"water resources management" -- "hydrology"
"microscopy" -- "optics"
"research methods" -- "statistics"
"vertebrate paleontology" -- "paleobiology"
"algebra" -- "combinatorics"
"algebra" -- "geometry"
"magnetohydrodynamics" -- "plasma physics"
"antioxidants" -- "oxidative stress"
"nems" -- "mems"
"women" -- "gender"
"topology" -- "geometry"
"family business" -- "entrepreneurship"
"health" -- "sport"
"health" -- "nature"
"health" -- "medical"
"health" -- "well-being"
"health" -- "aging"
"health" -- "safety"
"health" -- "social determinants of health"
"health" -- "built environment"
"cancer genetics" -- "bioinformatics"
"nanophotonics" -- "silicon photonics"
"nanophotonics" -- "photonic crystals"
"wavelets" -- "image processing"
"rfic" -- "integrated circuits"
"theoretical neuroscience" -- "computational neuroscience"
"monitoring" -- "evaluation"
"vehicle dynamics" -- "control"
"productivity" -- "efficiency"
"productivity" -- "innovation"
"information theory" -- "wireless communications"
"information theory" -- "coding"
"information theory" -- "network coding"
"information theory" -- "coding theory"
"information theory" -- "communication theory"
"information theory" -- "communication networks"
"navigation" -- "gnss"
"economics of innovation" -- "entrepreneurship"
"multivariate analysis" -- "machine learning"
"outsourcing" -- "innovation"
"information extraction" -- "natural language processing"
"information technology" -- "information systems"
"radiology" -- "mri"
"radiology" -- "neuroradiology"
"food systems" -- "sustainability"
"china" -- "international relations"
"amyloid" -- "protein aggregation"
"precision medicine" -- "bioinformatics"
"civil engineering" -- "geotechnics"
"civil engineering" -- "geotechnical engineering"
"open data" -- "semantic web"
"x-ray scattering" -- "neutron scattering"
"creativity" -- "innovation"
"pragmatics" -- "discourse"
"intervention" -- "assessment"
"power management" -- "energy harvesting"
"melanoma" -- "cancer"
"imaging" -- "computer vision"
"imaging" -- "video processing"
"iot" -- "cloud computing"
"nuclear magnetic resonance" -- "biophysics"
"environmental politics" -- "policy"
"molecular biophysics" -- "structural biology"
"alcohol" -- "addiction"
"literacy" -- "writing"
"literacy" -- "language"
"literacy" -- "reading"
"literacy" -- "children s literature"
"asthma" -- "cystic fibrosis"
"asthma" -- "allergy"
"asthma" -- "copd"
"silicon photonics" -- "integrated optics"
"process control" -- "crystallization"
"social identity" -- "social psychology"
"technology policy" -- "science"
"structures" -- "earthquake engineering"
"structures" -- "concrete"
"structures" -- "smart materials"
"reservoir simulation" -- "reservoir engineering"
"learning theory" -- "machine learning"
"human capital" -- "economic growth"
"optoelectronics" -- "photonics"
"optoelectronics" -- "semiconductor devices"
"optoelectronics" -- "semiconductor physics"
"functional data analysis" -- "statistics"
"digital libraries" -- "information retrieval"
"digital libraries" -- "digital humanities"
"digital libraries" -- "metadata"
"endocrinology" -- "diabetes"
"endocrinology" -- "reproduction"
"hydrodynamics" -- "cfd"
"radiation" -- "aerosols"
"geobiology" -- "geochemistry"
"physics" -- "condensed matter theory"
"physics" -- "condensed matter"
"physics" -- "optics"
"physics" -- "materials science"
"transport economics" -- "industrial organization"
"veterinary medicine" -- "epidemiology"
"technical communication" -- "rhetoric"
"neurodegenerative diseases" -- "neuroscience"
"neuropharmacology" -- "neuroscience"
"risk" -- "resilience"
"risk" -- "uncertainty"
"smart materials" -- "soft robotics"
"smart materials" -- "shape memory alloys"
"sport management" -- "sport marketing"
"land use" -- "transportation"
"occupational health" -- "safety"
"bayesian modeling" -- "machine learning"
"computational geometry" -- "algorithms"
"orthopedics" -- "biomechanics"
"stem cells" -- "cancer"
"stem cells" -- "tissue engineering"
"stem cells" -- "regenerative biology"
"stem cells" -- "developmental neuroscience"
"stem cells" -- "hematopoiesis"
"stem cells" -- "cancer stem cells"
"educational psychology" -- "educational technology"
"cloud computing" -- "distributed systems"
"cloud computing" -- "resource management"
"cloud computing" -- "distributed computing"
"cloud computing" -- "web services"
"cloud computing" -- "hpc"
"cloud computing" -- "big data"
"cloud computing" -- "sdn"
"cloud computing" -- "service computing"
"cloud computing" -- "virtualization"
"cloud computing" -- "internet of things"
"web" -- "databases"
"paediatrics" -- "child health"
"marine geology" -- "sedimentology"
"distributed systems" -- "fault tolerance"
"distributed systems" -- "networks"
"distributed systems" -- "middleware"
"distributed systems" -- "distributed algorithms"
"distributed systems" -- "dependability"
"distributed systems" -- "performance"
"equity" -- "diversity"
"vision science" -- "optometry"
"ecology" -- "ecosystem services"
"ecology" -- "environmental science"
"ecology" -- "wildlife"
"ecology" -- "biodiversity conservation"
"ecology" -- "social insects"
"ecology" -- "conservation science"
"ecology" -- "marine"
"ecology" -- "behaviour"
"ecology" -- "plant"
"ecology" -- "fisheries"
"ecology" -- "ecophysiology"
"ecology" -- "pollination"
"ecology" -- "biogeography"
"ecology" -- "population dynamics"
"ecology" -- "marine biology"
"ecology" -- "invasion biology"
"ecology" -- "natural resource management"
"ecology" -- "evolutionary biology"
"ecology" -- "botany"
"ecology" -- "ethology"
"ecology" -- "ecotoxicology"
"ecology" -- "biology"
"ecology" -- "conservation"
"ecology" -- "invasive species"
"ecology" -- "entomology"
"ecology" -- "dispersal"
"ecology" -- "food webs"
"ecology" -- "agroecology"
"ecology" -- "biodiversity"
"ecology" -- "physiological ecology"
"ecology" -- "global change"
"ecology" -- "fish"
"ecology" -- "evolution"
"ecology" -- "ornithology"
"ecology" -- "global change biology"
"quality of life" -- "health psychology"
"bioprocess engineering" -- "metabolic engineering"
"medicinal chemistry" -- "natural products"
"medicinal chemistry" -- "organic synthesis"
"medicinal chemistry" -- "chemical biology"
"medicinal chemistry" -- "drug discovery"
"medicinal chemistry" -- "organic chemistry"
"medicinal chemistry" -- "natural products chemistry"
"diffusion" -- "mri"
"vibration" -- "noise"
"vibration" -- "acoustics"
"operations" -- "supply chain management"
"optical coherence tomography" -- "optical imaging"
"optical coherence tomography" -- "biomedical optics"
"functional genomics" -- "bioinformatics"
"integration" -- "migration"
"stability" -- "control"
"spintronics" -- "magnetism"
"protein chemistry" -- "biochemistry"
"mutual funds" -- "investments"
"photoacoustic imaging" -- "ultrasound"
"biophysical chemistry" -- "spectroscopy"
"tribology" -- "friction"
"tribology" -- "surface engineering"
"tribology" -- "materials science"
"tribology" -- "contact mechanics"
"vanet" -- "wireless networks"
"fluid dynamics" -- "turbulence"
"water splitting" -- "artificial photosynthesis"
"water splitting" -- "photocatalysis"
"environmental governance" -- "political ecology"
"biomechanics" -- "locomotion"
"biomechanics" -- "injury prevention"
"biomechanics" -- "sports medicine"
"biomechanics" -- "muscle physiology"
"biomechanics" -- "ergonomics"
"biomechanics" -- "computational mechanics"
"biomechanics" -- "gait"
"biomechanics" -- "spine"
"biomechanics" -- "anatomy"
"biomechanics" -- "osteoarthritis"
"biomechanics" -- "orthopaedics"
"biomechanics" -- "bone"
"biomechanics" -- "functional morphology"
"biomechanics" -- "rehabilitation"
"biomechanics" -- "muscle"
"biomechanics" -- "injury"
"biomechanics" -- "finite element analysis"
"risk management" -- "insurance"
"risk management" -- "finance"
"risk management" -- "project management"
"systematic reviews" -- "meta-analysis"
"systematic reviews" -- "knowledge translation"
"mobile health" -- "machine learning"
"conservation genetics" -- "population genetics"
"ethics" -- "morality"
"ethics" -- "political philosophy"
"ethics" -- "bioethics"
"ethics" -- "philosophy"
"ethics" -- "moral psychology"
"ethics" -- "justice"
"macroevolution" -- "phylogenetics"
"dyslexia" -- "learning disabilities"
"dyslexia" -- "reading"
"turbomachinery" -- "aerodynamics"
"electronic structure theory" -- "quantum chemistry"
"services marketing" -- "consumer behavior"
"venture capital" -- "entrepreneurship"
"political methodology" -- "international relations"
"european integration" -- "international relations"
"teams" -- "leadership"
"material culture" -- "archaeology"
"interfaces" -- "colloids"
"interfaces" -- "surface"
"immigration" -- "urban sociology"
"immigration" -- "critical race theory"
"immigration" -- "latino"
"immigration" -- "race"
"mergers" -- "acquisitions"
"visible light communications" -- "wireless communications"
"vascular biology" -- "atherosclerosis"
"analysis" -- "algorithm design"
"analysis" -- "partial differential equations"
"analysis" -- "pde"
"ehealth" -- "mhealth"
"ehealth" -- "telemedicine"
"attitudes" -- "social psychology"
"medical informatics" -- "clinical decision support"
"medical informatics" -- "data mining"
"distributed" -- "parallel computing"
"web mining" -- "data mining"
"platelets" -- "thrombosis"
"developmental cognitive neuroscience" -- "cognitive development"
"sexual health" -- "hiv prevention"
"production planning" -- "control"
"planetary science" -- "astrobiology"
"autoimmunity" -- "immunology"
"community" -- "crime"
"sports medicine" -- "orthopaedic surgery"
"health communication" -- "persuasion"
"health communication" -- "media effects"
"health communication" -- "health literacy"
"health communication" -- "interpersonal communication"
"health communication" -- "risk communication"
"health communication" -- "organizational communication"
"translational medicine" -- "bioinformatics"
"cardiovascular physiology" -- "pharmacology"
"microrna" -- "cancer"
"reward" -- "addiction"
"psychophysics" -- "vision"
"dna methylation" -- "epigenetics"
"additive manufacturing" -- "cad"
"quality management" -- "supply chain management"
"apoptosis" -- "cancer"
"wireless" -- "networks"
"plant biology" -- "plant biochemistry"
"irrigation" -- "hydrology"
"irrigation" -- "water management"
"pollution" -- "environmental science"
"change" -- "climate variability"
"cellular biology" -- "molecular"
"fatigue" -- "fracture mechanics"
"fatigue" -- "fracture"
"cardiology" -- "interventional cardiology"
"cardiology" -- "heart failure"
"cardiology" -- "cardiac electrophysiology"
"cardiology" -- "internal medicine"
"cardiology" -- "electrophysiology"
"infrastructure" -- "urban"
"nuclear" -- "particle physics"
"film studies" -- "cultural studies"
"green chemistry" -- "catalysis"
"jurisprudence" -- "law"
"ubiquitous computing" -- "hci"
"systems theory" -- "control theory"
"epigenetics" -- "transcription"
"epigenetics" -- "chromatin"
"epigenetics" -- "non-coding rna"
"leadership" -- "management"
"leadership" -- "change management"
"leadership" -- "organizational change"
"leadership" -- "emotional intelligence"
"cultural psychology" -- "social psychology"
"green building" -- "sustainability"
"paleobiology" -- "paleontology"
"energy materials" -- "electrochemistry"
"ethnicity" -- "nationalism"
"ethnicity" -- "race"
"photocatalyst" -- "nanomaterials"
"semantic web" -- "artificial intelligence"
"semantic web" -- "linked data"
"marriage" -- "family"
"free will" -- "philosophy of mind"
"restoration" -- "conservation"
"molecular physics" -- "atomic"
"data science" -- "machine learning"
"data" -- "machine learning"
"signal processing" -- "wireless communications"
"signal processing" -- "biomedical"
"signal processing" -- "communication"
"signal processing" -- "radar"
"signal processing" -- "compressed sensing"
"signal processing" -- "machine learning"
"signal processing" -- "random matrix theory"
"signal processing" -- "fault diagnosis"
"southeast asia" -- "history"
"oceanography" -- "marine science"
"oceanography" -- "biogeochemistry"
"oceanography" -- "phytoplankton"
"buildings" -- "energy"
"molecular dynamics simulation" -- "biophysics"
"conversation analysis" -- "social interaction"
"wearable computing" -- "augmented reality"
"life course" -- "aging"
"psychiatric epidemiology" -- "mental health"
"biomedical informatics" -- "clinical informatics"
"biomedical informatics" -- "machine learning"
"atmospheric science" -- "climate science"
"atmospheric science" -- "meteorology"
"aesthetics" -- "philosophy"
"human evolution" -- "paleoanthropology"
"human evolution" -- "population genetics"
"transitional justice" -- "human rights"
"palynology" -- "palaeoecology"
"symbiosis" -- "evolution"
"medicina" -- "biologia"
"celestial mechanics" -- "dynamical systems"
"soft computing" -- "artificial intelligence"
"climate" -- "atmosphere"
"climate" -- "meteorology"
"climate" -- "physical oceanography"
"climate" -- "hydrology"
"climate" -- "atmospheric dynamics"
"gps" -- "gnss"
"physical organic chemistry" -- "computational chemistry"
"decision support systems" -- "data mining"
"porous materials" -- "catalysis"
"cognitive aging" -- "memory"
"sexual selection" -- "evolution"
"computational social science" -- "machine learning"
"process modeling" -- "simulation"
"interaction design" -- "design research"
"interaction design" -- "participatory design"
"interaction design" -- "industrial design"
"user modeling" -- "recommender systems"
"information fusion" -- "machine learning"
"automated reasoning" -- "artificial intelligence"
"stress" -- "social support"
"stress" -- "coping"
"stress" -- "neuroscience"
"integrated circuits" -- "cmos"
"integrated circuits" -- "systems"
"human factors" -- "ergonomics"
"human factors" -- "aviation"
"behavioral genetics" -- "psychopathology"
"political parties" -- "elections"
"environmental engineering" -- "environmental nanotechnology"
"environmental engineering" -- "chemical"
"environmental engineering" -- "wastewater treatment"
"environmental engineering" -- "chemical engineering"
"environmental engineering" -- "environmental biotechnology"
"behavioral economics" -- "experimental economics"
"behavioral economics" -- "experimental"
"fisiologia" -- "farmacologia"
"fisiologia" -- "bioquímica"
"bioinformatics" -- "rna-seq"
"bioinformatics" -- "rna"
"bioinformatics" -- "microbial genomics"
"bioinformatics" -- "next generation sequencing"
"bioinformatics" -- "computational genomics"
"bioinformatics" -- "comparative genomics"
"bioinformatics" -- "computational systems biology"
"bioinformatics" -- "machine learning"
"bioinformatics" -- "protein-protein interactions"
"bioinformatics" -- "cheminformatics"
"bioinformatics" -- "molecular evolution"
"bioinformatics" -- "genomics"
"bioinformatics" -- "metagenomics"
"bioinformatics" -- "proteomics"
"bioinformatics" -- "ngs"
"bioinformatics" -- "phylogenomics"
"bioinformatics" -- "visualisation"
"bioinformatics" -- "genome evolution"
"bone" -- "osteoporosis"
"validation" -- "verification"
"gynecology" -- "obstetrics"
"mechanical engineering" -- "aerospace engineering"
"mechanical engineering" -- "materials science"
"nanomaterials" -- "energy conversion"
"nanomaterials" -- "photocatalysis"
"nanomaterials" -- "electrochemistry"
"nanomaterials" -- "catalyst"
"integrable systems" -- "mathematical physics"
"visual neuroscience" -- "computational neuroscience"
"co2 capture" -- "energy"
"computational complexity" -- "algorithms"
"orthodontics" -- "dentistry"
"cognitive development" -- "language development"
"cognitive development" -- "developmental psychology"
"cognitive development" -- "executive function"
"species distribution modelling" -- "biogeography"
"motor control" -- "motor learning"
"motor control" -- "neuroscience"
"environmental modelling" -- "remote sensing"
"soft robotics" -- "advanced manufacturing"
"neuroimmunology" -- "immunology"
"mining" -- "rock mechanics"
"implementation" -- "dissemination"
"computational statistics" -- "machine learning"
"community development" -- "housing"
"applied econometrics" -- "labor economics"
"social network analysis" -- "data mining"
"emerging markets" -- "international business"
"computational mathematics" -- "applied"
"formal verification" -- "model checking"
"palaeontology" -- "palaeoecology"
"palaeontology" -- "evolution"
"inorganic" -- "organometallic chemistry"
"human microbiome" -- "metagenomics"
"computational intelligence" -- "machine learning"
"metrology" -- "precision engineering"
"algebraic topology" -- "differential geometry"
"asset pricing" -- "corporate finance"
"asset pricing" -- "behavioral finance"
"asset pricing" -- "financial econometrics"
"asset pricing" -- "market microstructure"
"machine translation" -- "natural language processing"
"mobile learning" -- "educational technology"
"computational linguistics" -- "corpus linguistics"
"computational linguistics" -- "natural language processing"
"dna repair" -- "cancer"
"dna repair" -- "dna replication"
"theoretical" -- "computational chemistry"
"knowledge" -- "innovation"
"systems thinking" -- "system dynamics"
"concrete" -- "cement"
"concrete" -- "durability"
"mathematical physics" -- "quantum field theory"
"mathematical physics" -- "differential geometry"
"scholarly communication" -- "open access"
"information systems" -- "e-government"
"information systems" -- "decision support"
"information systems" -- "e-commerce"
"affective computing" -- "machine learning"
"graph theory" -- "combinatorics"
"graph theory" -- "algorithms"
"graph theory" -- "linear algebra"
"operator algebras" -- "functional analysis"
"statistical signal processing" -- "machine learning"
"stm" -- "surface science"
"phylogenetics" -- "phylogeography"
"phylogenetics" -- "evolution"
"welfare" -- "poverty"
"genomics" -- "personalized medicine"
"genomics" -- "rna biology"
"genomics" -- "evolutionary genetics"
"genomics" -- "epigenomics"
"genomics" -- "gene expression"
"genomics" -- "medical genetics"
"genomics" -- "gene regulation"
"genomics" -- "human genetics"
"genomics" -- "sequencing"
"genomics" -- "transcriptomics"
"genomics" -- "evolution"
"genomics" -- "quantitative genetics"
"genomics" -- "disease"
"auditing" -- "accounting"
"auditing" -- "financial accounting"
"instructional design" -- "instructional technology"
"instructional design" -- "educational technology"
"television" -- "film"
"systems engineering" -- "engineering design"
"communication technology" -- "information"
"international development" -- "gender"
"neuroscience" -- "neurodegeneration"
"neuroscience" -- "neuroinflammation"
"neuroscience" -- "optogenetics"
"neuroscience" -- "neuroanatomy"
"neuroscience" -- "psychology"
"neuroscience" -- "machine learning"
"neuroscience" -- "neuroengineering"
"neuroscience" -- "neuropathology"
"neuroscience" -- "addiction"
"neuroscience" -- "ion channels"
"neuroscience" -- "vision"
"neuroscience" -- "neurosurgery"
"neuroscience" -- "neurophysiology"
"neuroscience" -- "parkinson s disease"
"neuroscience" -- "gene therapy"
"neuroscience" -- "pharmacology"
"neuroscience" -- "synaptic plasticity"
"neuroscience" -- "bioelectronics"
"neuroscience" -- "neurobiology"
"neuroscience" -- "psychiatry"
"neuroscience" -- "neuroprotection"
"neuroscience" -- "pain"
"neuroscience" -- "neuroendocrinology"
"neuroscience" -- "olfaction"
"neuroscience" -- "neurodevelopmental disorders"
"neuroscience" -- "hearing"
"neuroscience" -- "electrophysiology"
"neuroscience" -- "spinal cord injury"
"neuroscience" -- "alzheimer s disease"
"neuroscience" -- "physiology"
"neuroscience" -- "neuroplasticity"
"neuroscience" -- "neurology"
"neuroscience" -- "ophthalmology"
"neuroscience" -- "cognition"
"neuroscience" -- "psychopharmacology"
"neuroscience" -- "neurogenetics"
"neuroscience" -- "traumatic brain injury"
"neuroscience" -- "anesthesiology"
"neuroscience" -- "brain imaging"
"neuroscience" -- "epilepsy"
"neuroscience" -- "neurodevelopment"
"materials science" -- "characterization"
"materials science" -- "metals"
"materials science" -- "nanostructured materials"
"materials science" -- "solid state chemistry"
"materials science" -- "materials processing"
"materials science" -- "applied physics"
"materials science" -- "metallurgy"
"materials science" -- "condensed matter physics"
"materials science" -- "polymer science"
"materials science" -- "electrochemistry"
"materials science" -- "optical spectroscopy"
"materials science" -- "engineering"
"materials science" -- "solid state physics"
"materials science" -- "chemistry"
"materials science" -- "electrical engineering"
"materials science" -- "physical metallurgy"
"materials science" -- "oxides"
"materials science" -- "thin films"
"materials science" -- "electron microscopy"
"materials science" -- "ceramics"
"materials science" -- "materials characterization"
"materials science" -- "chemical engineering"
"constraint programming" -- "artificial intelligence"
"microwave photonics" -- "optical communications"
"earth sciences" -- "geology"
"convex optimization" -- "machine learning"
"petrology" -- "geochemistry"
"diagnostics" -- "prognostics"
"diagnostics" -- "microfluidics"
"heart failure" -- "atrial fibrillation"
"transition" -- "transportation"
"metal forming" -- "manufacturing"
"hypertension" -- "diabetes"
"computational chemistry" -- "physical chemistry"
"computational chemistry" -- "quantum chemistry"
"computational chemistry" -- "electronic structure"
"computational chemistry" -- "molecular modeling"
"landscape ecology" -- "urban ecology"
"obesity" -- "eating disorders"
"obesity" -- "metabolic disease"
"obesity" -- "pregnancy"
"obesity" -- "metabolic syndrome"
"obesity" -- "diabetes"
"obesity" -- "physical activity"
"obesity" -- "type 2 diabetes"
"obesity" -- "nutrition"
"cultural evolution" -- "social learning"
"environmental science" -- "soil science"
"consciousness" -- "attention"
"self" -- "identity"
"mechanics" -- "materials"
"critical theory" -- "cultural studies"
"practice" -- "higher education policy"
"space physics" -- "solar physics"
"space physics" -- "plasma physics"
"parasitology" -- "immunology"
"electromagnetics" -- "scattering"
"electromagnetics" -- "antenna design"
"emerging technologies" -- "information literacy"
"volcanology" -- "geochemistry"
"ict" -- "education"
"society" -- "law"
"forecasting" -- "time series"
"access control" -- "security"
"fiber optics" -- "photonics"
"photovoltaics" -- "solar cells"
"photovoltaics" -- "organic semiconductors"
"photovoltaics" -- "perovskite"
"photovoltaics" -- "silicon"
"photovoltaics" -- "device physics"
"tsunami" -- "coastal engineering"
"behavioural ecology" -- "evolutionary biology"
"behavioural ecology" -- "animal behaviour"
"floods" -- "hydrology"
"biomarkers" -- "cancer"
"biomarkers" -- "colorectal cancer"
"cell mechanics" -- "biophysics"
"macroecology" -- "biogeography"
"valuation" -- "financial accounting"
"applied microeconomics" -- "industrial organization"
"bone biology" -- "cell biology"
"plant science" -- "molecular biology"
"cloud physics" -- "aerosols"
"cloud physics" -- "atmospheric physics"
"rheumatology" -- "immunology"
"labor markets" -- "inequality"
"sustainability science" -- "innovation"
"gerontology" -- "aging"
"human development" -- "sustainability"
"games" -- "artificial intelligence"
"database systems" -- "data mining"
"membrane technology" -- "wastewater treatment"
"speciation" -- "evolution"
"automotive" -- "control"
"chronic disease" -- "epidemiology"
"technology studies" -- "science"
"theory" -- "algorithms"
"intelligent systems" -- "machine learning"
"environmental psychology" -- "social psychology"
"ambient intelligence" -- "artificial intelligence"
"trust" -- "privacy"
"fuel cells" -- "batteries"
"fuel cells" -- "electrochemistry"
"fuel cells" -- "hydrogen"
"pancreatitis" -- "pancreatic cancer"
"pancreatitis" -- "gastroenterology"
"compilers" -- "programming languages"
"marine conservation" -- "fisheries"
"structural optimization" -- "topology optimization"
"structural optimization" -- "computational mechanics"
"luminescence" -- "spectroscopy"
"plant biotechnology" -- "molecular biology"
"power systems" -- "renewable energy"
"modeling" -- "simulation"
"autoimmune diseases" -- "immunology"
"counseling" -- "psychotherapy"
"signal" -- "image processing"
"model checking" -- "formal methods"
"combinatorics" -- "discrete mathematics"
"combinatorics" -- "number theory"
"combinatorics" -- "group theory"
"scanning tunneling microscopy" -- "surface science"
"periodismo" -- "comunicación"
"periodismo" -- "journalism"
"image processing" -- "computer vision"
"image processing" -- "inverse problems"
"image processing" -- "video"
"image processing" -- "video compression"
"image processing" -- "video coding"
"paleontology" -- "paleoecology"
"paleontology" -- "geology"
"mesoscopic physics" -- "condensed matter physics"
"signal transduction" -- "cancer biology"
"constitutional law" -- "public law"
"constitutional law" -- "comparative law"
"constitutional law" -- "human rights"
"collective action" -- "social movements"
"cognitive neuroscience" -- "neuropsychology"
"cognitive neuroscience" -- "memory"
"cognitive neuroscience" -- "cognitive psychology"
"cognitive neuroscience" -- "psychology"
"cognitive neuroscience" -- "attention"
"cognitive neuroscience" -- "experimental psychology"
"cognitive neuroscience" -- "affective neuroscience"
"cognitive neuroscience" -- "music cognition"
"drug metabolism" -- "pharmacokinetics"
"dissemination" -- "implementation science"
"computational photography" -- "computer vision"
"cell" -- "molecular biology"
"hydraulics" -- "hydrology"
"general relativity" -- "cosmology"
"nuclear physics" -- "particle physics"
"geology" -- "tectonics"
"geology" -- "geomorphology"
"geology" -- "sedimentology"
"geology" -- "geochemistry"
"mobile communication" -- "wireless communications"
"circuits" -- "systems"
"wastewater treatment" -- "microbial fuel cell"
"wastewater treatment" -- "anaerobic digestion"
"wastewater treatment" -- "water"
"supply chain" -- "manufacturing systems"
"activity recognition" -- "machine learning"
"welding" -- "metallurgy"
"complexity theory" -- "algorithms"
"air pollution" -- "environmental epidemiology"
"air pollution" -- "exposure assessment"
"artificial intelligence" -- "cognitive robotics"
"artificial intelligence" -- "cognitive science"
"artificial intelligence" -- "knowledge representation"
"artificial intelligence" -- "cognitive modeling"
"artificial intelligence" -- "logic programming"
"artificial intelligence" -- "genetic algorithms"
"artificial intelligence" -- "computer games"
"artificial intelligence" -- "video games"
"artificial intelligence" -- "multi-agent systems"
"artificial intelligence" -- "machine learning"
"artificial intelligence" -- "argumentation"
"artificial intelligence" -- "evolutionary computation"
"artificial intelligence" -- "logic"
"artificial intelligence" -- "swarm intelligence"
"artificial intelligence" -- "knowledge engineering"
"artificial intelligence" -- "evolutionary algorithms"
"artificial intelligence" -- "planning"
"artificial intelligence" -- "fuzzy logic"
"artificial intelligence" -- "artificial neural networks"
"artificial intelligence" -- "mathematical logic"
"artificial intelligence" -- "artificial life"
"artificial intelligence" -- "genetic programming"
"personality" -- "intelligence"
"personality" -- "assessment"
"personality" -- "individual differences"
"personality" -- "social psychology"
"personality" -- "psychopathology"
"dna" -- "biophysics"
"medical statistics" -- "epidemiology"
"earthquake engineering" -- "structural analysis"
"earthquake engineering" -- "soil-structure interaction"
"earthquake engineering" -- "bridge engineering"
"ubiquitin" -- "biochemistry"
"risk assessment" -- "toxicology"
"policy analysis" -- "public policy"
"violence" -- "aggression"
"violence" -- "criminology"
"comparative politics" -- "latin america"
"comparative politics" -- "political science"
"comparative politics" -- "european union"
"comparative politics" -- "comparative political economy"
"comparative politics" -- "european politics"
"comparative politics" -- "democratization"
"system identification" -- "control"
"system identification" -- "parameter estimation"
"market design" -- "mechanism design"
"population genetics" -- "experimental evolution"
"population genetics" -- "evolution"
"microeconomics" -- "game theory"
"science" -- "technology"
"statistics" -- "research methodology"
"statistics" -- "quality control"
"statistics" -- "robustness"
"statistics" -- "mathematical statistics"
"statistics" -- "psychometrics"
"statistics" -- "methodology"
"statistics" -- "machine learning"
"statistics" -- "design of experiments"
"static analysis" -- "programming languages"
"paleoecology" -- "taphonomy"
"internet of things" -- "smart cities"
"internet of things" -- "wireless sensor networks"
"turbulence modeling" -- "computational fluid dynamics"
"ancient history" -- "classics"
"ancient history" -- "archaeology"
"petroleum engineering" -- "geomechanics"
"petroleum engineering" -- "reservoir engineering"
"philosophy of mind" -- "philosophy of language"
"philosophy of mind" -- "cognitive science"
"supply chain management" -- "operations management"
"geostatistics" -- "hydrogeology"
"financial intermediation" -- "corporate finance"
"environmental fluid mechanics" -- "turbulence"
