"perceptual decision making" -- "attention"
"cognitive training" -- "working memory"
"cannabinoid receptors" -- "nicotinic receptors"
"stent" -- "finite element analysis"
"customary law" -- "human rights"
"credit ratings" -- "cash management"
"credit ratings" -- "return predictability"
"credit ratings" -- "banking"
"plasma etching" -- "biosensors"
"enterprise resource planning" -- "agile software development"
"heterogeneous architectures" -- "computer architecture"
"accounting theory" -- "financial reporting"
"polymer rheology" -- "polymer nanocomposites"
"3d image processing" -- "2d"
"service engineering" -- "information systems"
"ppp" -- "gnss"
"optimization problems" -- "operations research"
"dermatology" -- "immunology"
"dermatology" -- "obstetrics gynecology"
"dermatology" -- "antimicrobial therapy"
"dermatology" -- "alopecia areata"
"dermatology" -- "reumatologia"
"dermatology" -- "psoriasis"
"dermatology" -- "vitiligo"
"dermatology" -- "contact dermatitis"
"dermatology" -- "immunolgy"
"dermatology" -- "atopic dermatitis"
"dermatology" -- "dermatopathology"
"dermatology" -- "dermatologic surgery"
"dermatology" -- "dermatologia"
"dry powder inhalers" -- "powder"
"observers" -- "control"
"alterações climáticas" -- "ambiente"
"animal flight" -- "spatial behaviour"
"animal flight" -- "biomechanics"
"musculoskeletal biomechanics" -- "medical imaging"
"systems science" -- "systems engineering"
"quantum cryptography" -- "quantum information"
"quantum cryptography" -- "quantum key distribution"
"appetite" -- "obesity"
"vacuum science" -- "quantum technologies"
"ciliopathies" -- "cilia"
"lgbtq" -- "transgender"
"lgbtq" -- "intersectionality"
"hunger" -- "human development"
"dynamic bayesian networks" -- "machine learning"
"toksikoloji" -- "farmakoloji"
"video game studies" -- "literary theory"
"traffic analysis" -- "network security"
"plant biotechnology" -- "plant transformation"
"plant biotechnology" -- "molecular biology"
"plant biotechnology" -- "plant tissue culture"
"plant biotechnology" -- "plant cell biology"
"pcb design" -- "quadrotors"
"plant viruses" -- "transcriptomics"
"social reward" -- "motivation"
"english grammar" -- "syntactic theory"
"sicily" -- "solidarity"
"cognitive neuroscience of aging" -- "social neuroscience"
"aquatic ecosystems" -- "fisheries"
"aquatic ecosystems" -- "riparian"
"soft sensor" -- "machine learning"
"speckle" -- "x-ray imaging"
"performance improvement" -- "evaluation"
"endothelial dysfunction" -- "oxidative stress"
"sexual conflict" -- "sexual selection"
"discrete dynamical systems" -- "cellular automata"
"porous ceramics" -- "energy generation"
"filosofia da educação" -- "história da educação"
"land change science" -- "remote sensing"
"comparative" -- "international politics"
"comparative" -- "historical"
"human capital development" -- "employment"
"derivatives" -- "asset pricing models"
"derivatives" -- "asset pricing"
"derivatives" -- "credit risk"
"derivatives" -- "fixed income securities"
"editing" -- "science writing"
"editing" -- "writing"
"neuroscience of music" -- "neuroscience of language"
"neuroscience of music" -- "neurofeedback"
"yeast genetics" -- "genetic networks"
"yeast genetics" -- "experimental evolution"
"anhedonia" -- "schizophrenia"
"biomedical analysis" -- "electrophoresis"
"culturally relevant pedagogy" -- "physical education"
"culturally relevant pedagogy" -- "urban schooling"
"smart antennas" -- "mimo"
"equity valuation" -- "accounting"
"evidentiality" -- "pragmatics"
"evidentiality" -- "modality"
"applied psychology" -- "occupational psychology"
"applied psychology" -- "health psychology"
"health sociology" -- "swarm intelligence"
"multimodal analysis" -- "social semiotics"
"physical-biological interactions" -- "environmental fluid mechanics"
"language" -- "music"
"language" -- "laterality"
"language" -- "thought"
"language" -- "cognition"
"language" -- "qualitative inquiry"
"language" -- "immigrant children"
"language" -- "aphasia"
"language" -- "gender sexuality"
"language" -- "social interaction"
"language" -- "conceptual development"
"language" -- "concepts"
"language" -- "deaf studies"
"language" -- "metaphor"
"language" -- "technical writing"
"language" -- "developmental disorders"
"language" -- "literacy development"
"forest mapping" -- "remote sensing"
"intercultural theatre" -- "theatre"
"roughness" -- "turbulent convection"
"roughness" -- "computational fluid dynamics"
"cognitive plasticity" -- "cognition"
"space mission design" -- "astrodynamics"
"shape modeling" -- "computer graphics"
"bayesian reasoning" -- "decision making"
"neuroendocrinology" -- "neuroscience"
"neuroendocrinology" -- "reproductive endocrinology"
"crop protection" -- "entomology"
"responsible conduct of research" -- "research ethics"
"responsible conduct of research" -- "research integrity"
"global justice" -- "political philosophy"
"meiotic drive" -- "sperm competition"
"online dispute resolution" -- "negotiation"
"damage identification" -- "structural health monitoring"
"earthquake engineering" -- "masonry structures"
"earthquake engineering" -- "concrete engineering"
"earthquake engineering" -- "seismic assessment"
"earthquake engineering" -- "seismic retrofitting"
"earthquake engineering" -- "seismic risk"
"earthquake engineering" -- "performance-based engineering"
"earthquake engineering" -- "structural engineering"
"earthquake engineering" -- "dynamics of structures"
"earthquake engineering" -- "bridge engineering"
"earthquake engineering" -- "performance-based design"
"earthquake engineering" -- "architectural heritage"
"earthquake engineering" -- "seismic vulnerability"
"earthquake engineering" -- "large-scale testing"
"earthquake engineering" -- "structures"
"earthquake engineering" -- "community resilience"
"earthquake engineering" -- "blast engineering"
"earthquake engineering" -- "soil-structure interaction"
"earthquake engineering" -- "disaster risk management"
"earthquake engineering" -- "structural dynamics"
"earthquake engineering" -- "retrofitting"
"earthquake engineering" -- "bayesian updating"
"earthquake engineering" -- "structural reliability"
"earthquake engineering" -- "seismic design"
"earthquake engineering" -- "monuments"
"earthquake engineering" -- "conservation engineering"
"earthquake engineering" -- "hybrid simulation"
"earthquake engineering" -- "reinforced concrete structures"
"earthquake engineering" -- "performance based seismic design"
"earthquake engineering" -- "structural analysis"
"earthquake engineering" -- "engineering seismology"
"crowd behaviour" -- "modeling"
"image quality assessment" -- "image processing"
"cellular immunology" -- "molecular immunology"
"sirna" -- "dds"
"sirna" -- "cancer"
"task allocation" -- "auctions"
"protein networks" -- "computational biology"
"coastal disaster" -- "coastal engineering"
"gastric cancer" -- "nutrition"
"prostate" -- "cancer"
"spatio-temporal data mining" -- "machine learning"
"degradation" -- "protein folding"
"plagiarism" -- "academic integrity"
"plagiarism" -- "cheating"
"cohen geochemistry group" -- "geochemistry"
"pattern analysis" -- "image processing"
"qds" -- "energy"
"thin film characterization" -- "corrosion science"
"international humanitarian law" -- "international law"
"market design" -- "mechanism design"
"market design" -- "matching markets"
"catchment management" -- "water quality"
"catchment management" -- "fisheries research"
"fuzzy optimization" -- "computational optimization"
"power management integrated circuits" -- "analog integrated circuits"
"process mineralogy" -- "geometallurgy"
"phase change" -- "multiphase flow"
"working time" -- "labor markets"
"smart spaces" -- "neuro-fuzzy systems"
"smart spaces" -- "ubiquitous computing"
"early music" -- "musicology"
"william james" -- "genre"
"atp" -- "mitochondria"
"static analysis" -- "abstract interpretation"
"static analysis" -- "programming languages"
"herpetofauna" -- "wildlife ecology"
"integrated pest management" -- "entomology"
"infancy" -- "developmental psychology"
"animal studies" -- "posthumanism"
"animal studies" -- "cultural studies"
"rectal surgery" -- "colon"
"philosophy of mind" -- "cognitive science"
"philosophy of mind" -- "philosophy of language"
"philosophy of mind" -- "self-knowledge"
"philosophy of mind" -- "philosophy of psychiatry"
"philosophy of mind" -- "introspection"
"philosophy of mind" -- "philosophy of neuroscience"
"philosophy of mind" -- "action theory"
"philosophy of mind" -- "philosophy of cognitive science"
"philosophy of mind" -- "free will"
"philosophy of mind" -- "philosophy of action"
"philosophy of mind" -- "kant"
"philosophy of mind" -- "philosophy of psychology"
"philosophy of mind" -- "metaphysics"
"spaceflight" -- "exercise"
"plant-microbial interactions" -- "evolutionary ecology"
"biomolecular nmr spectroscopy" -- "protein folding"
"public diplomacy" -- "soft power"
"public diplomacy" -- "nation branding"
"public diplomacy" -- "public relations"
"bounded rationality" -- "choice theory"
"event processing" -- "distributed systems"
"state-society relations" -- "civil society"
"separation science" -- "analytical chemistry"
"separation science" -- "soil treatment"
"robust design optimization" -- "uncertainty quantification"
"environmental fluid mechanics" -- "physical limnology"
"environmental fluid mechanics" -- "turbulence"
"entrepreneurial learning" -- "entrepreneurship"
"innate immune system" -- "systems biology"
"spad" -- "time-of-flight"
"spad" -- "single photon detection"
"space instrumentation" -- "planetary science"
"asset management" -- "smart grid"
"asset management" -- "transportation systems analysis"
"technical communication" -- "rhetoric"
"technical communication" -- "professional writing"
"tip-enhanced raman spectroscopy" -- "sers"
"military strategy" -- "international security"
"medicina veterinária preventiva" -- "zoonoses"
"joint replacement" -- "orthopaedics"
"ti" -- "al alloys"
"object-oriented programming" -- "software engineering"
"insect ecology" -- "novel ecosystems"
"insect ecology" -- "entomology"
"insect ecology" -- "resistance management"
"fixed income" -- "asset pricing"
"fenomenología" -- "hermenéutica"
"fenomenología" -- "filosofía moderna"
"fenomenología" -- "filosofía"
"fenomenología" -- "psicoanálisis"
"plant phenotyping" -- "crop domestication"
"eficiencia" -- "productividad"
"eficiencia" -- "innovación"
"clinical pharmacy" -- "pharmacotherapy"
"clinical pharmacy" -- "pharmacogenomics"
"organic photovoltaics" -- "plastic electronics"
"organic photovoltaics" -- "semiconducting polymers"
"organic photovoltaics" -- "organic electronics"
"organic photovoltaics" -- "organic photodetectors"
"nuevas tecnologías" -- "tic"
"biomedical data science" -- "ontologies"
"turbines" -- "cavitation"
"applied mathematics" -- "optimal design"
"applied mathematics" -- "distributed control theory"
"applied mathematics" -- "nonlinear waves"
"applied mathematics" -- "preconditioners"
"applied mathematics" -- "mathematical geosciences"
"applied mathematics" -- "solitary waves"
"applied mathematics" -- "perturbation methods"
"applied mathematics" -- "bayesian estimation"
"applied mathematics" -- "theoretical mechanics"
"applied mathematics" -- "pure mathematics"
"applied mathematics" -- "mathematical physiology"
"applied mathematics" -- "computational cell biology"
"applied mathematics" -- "transportation research"
"applied mathematics" -- "numerical"
"applied mathematics" -- "nonlinear pde"
"applied mathematics" -- "asymptotics"
"applied mathematics" -- "applied thermodynamics"
"applied mathematics" -- "microhydrodynamics"
"applied mathematics" -- "wave motion"
"applied mathematics" -- "cardiovascular mathematics"
"applied mathematics" -- "nonlinear phenomena"
"applied mathematics" -- "numerical analysis"
"joints" -- "cartilage"
"cardiovascular pathology" -- "vascular remodeling"
"cardiovascular pathology" -- "renal pathology"
"ultrasound contrast agents" -- "acoustics"
"investment theory" -- "econometrics"
"thermophysical properties of fluids" -- "energy technology"
"taxation" -- "international taxation"
"taxation" -- "accounting"
"beta cell biology" -- "diabetes"
"therapeutic relationship" -- "working alliance"
"semantics of programming languages" -- "domain theory"
"semantics of programming languages" -- "logic"
"party politics" -- "political elites"
"party politics" -- "italian politics"
"party politics" -- "comparative politics"
"party politics" -- "institutionalization"
"electromagnetic theory" -- "antennas"
"cross-cultural consumer behavior" -- "body image"
"subarachnoid hemorrhage" -- "stroke"
"strain" -- "cardiology"
"conflict management" -- "job satisfaction"
"conflict management" -- "managerial decision making"
"conflict management" -- "resolution"
"conflict management" -- "negotiation"
"neurotrophins" -- "ischemia-reperfusion"
"social history" -- "economic history"
"body image" -- "self-conscious emotions"
"body image" -- "musculoskeletal imaging"
"body image" -- "sizing"
"body image" -- "imaging informatics"
"innovation studies" -- "economic geography"
"non-alcoholic fatty liver disease" -- "obesity"
"neuromuscular control" -- "system identification"
"antitrust" -- "industrial organization"
"antitrust" -- "competition law"
"philosophy of language" -- "philosophy of race"
"philosophy of language" -- "philosophy of literature"
"philosophy of language" -- "wittgenstein"
"philosophy of language" -- "linguistic semantics"
"philosophy of language" -- "asian philosophy"
"philosophy of language" -- "indian philosophy"
"philosophy of language" -- "philosophical logic"
"philosophy of language" -- "philosophy of linguistics"
"philosophy of language" -- "natural language semantics"
"symbolic execution" -- "software engineering"
"team coordination" -- "team cognition"
"imperial history" -- "african history"
"ion acceleration" -- "laser plasma interactions"
"geovisual analytics" -- "geovisualization"
"enzyme production" -- "biomass conversion"
"cell differentiation" -- "systems biology"
"cell differentiation" -- "dictyostelium"
"anammox" -- "microbial ecology"
"cardiovascular genetics" -- "bioinformatics"
"integer programming" -- "column generation"
"integer programming" -- "operations research"
"ferrohydrodynamics" -- "heat transfer"
"heparan sulfate" -- "single molecule imaging"
"youth mentoring" -- "positive youth development"
"skull base tumors" -- "cerebrovascular"
"magnetic sense" -- "bird migration"
"magnetic sense" -- "animal navigation"
"magnetic sense" -- "magnetoreception"
"coal seam gas" -- "co2 sequestration"
"coal seam gas" -- "unconventional gas"
"photothermal therapy" -- "nir imaging"
"photothermal therapy" -- "polyoxometalates"
"visual comfort" -- "daylighting"
"cerebral hemodynamics" -- "stroke"
"surface engineering" -- "tribology"
"surface engineering" -- "plasma electrolytic oxidation"
"surface engineering" -- "hydrogen generation"
"surface engineering" -- "thermal spray"
"surface engineering" -- "solid oxide fuel cells (sofcs)"
"surface engineering" -- "coating technology"
"surface engineering" -- "non-traditional machining"
"photopolymers" -- "lighting"
"human disease genetics" -- "population"
"sensory perception" -- "imagery"
"glacier dynamics" -- "remote sensing"
"income distribution" -- "poverty"
"ecologia marinha" -- "biologia da conservação"
"ecologia marinha" -- "oceanografia biológica"
"ecologia marinha" -- "educação em ciências"
"ecologia marinha" -- "echinodermata"
"ecologia marinha" -- "ensino de biologia"
"psicoterapia" -- "psichiatria"
"psicoterapia" -- "scienze cognitive"
"psicoterapia" -- "attaccamento"
"psicoterapia" -- "psicologia giuridica"
"health services research" -- "health policy"
"health services research" -- "quality of care"
"health services research" -- "interprofessional collaboration"
"health services research" -- "medicare"
"health services research" -- "dental public health"
"health services research" -- "older adults"
"health services research" -- "healthcare management"
"enologia" -- "control automatico"
"general psychology" -- "disability"
"general psychology" -- "cruise tourism"
"gas separation" -- "polymeric membranes"
"gas separation" -- "membranes"
"service innovation" -- "value co-creation"
"service innovation" -- "service development"
"service innovation" -- "services marketing"
"endovascular surgery" -- "vascular"
"patologia" -- "neuropatologia"
"patologia" -- "oncologia"
"patologia" -- "malattie infettive"
"field spectroscopy" -- "remote sensing"
"engineering seismology" -- "strong ground motion"
"planetary habitability" -- "exoplanets"
"mass media" -- "visual semiotics"
"mass media" -- "contemporary china"
"mass media" -- "international intervention"
"mass media" -- "public opinion"
"mass media" -- "gènere"
"infrastructure materials" -- "geotechnical engineering"
"public value" -- "public administration"
"filosofía de la ciencia" -- "historia de la ciencia"
"feminist philosophy" -- "political philosophy"
"quality engineering" -- "industrial statistics"
"quality engineering" -- "scientometrics"
"violence exposure" -- "juvenile justice"
"gynecologic oncology" -- "quality of life"
"sedation" -- "delirium"
"human-technology interaction" -- "psychology"
"charcoal" -- "fire ecology"
"device characterization" -- "materials science"
"polymer brushes" -- "polymer chemistry"
"island biology" -- "conservation"
"human language technology" -- "pattern recognition"
"electromagnetic induction" -- "soil science"
"als" -- "ftld"
"als" -- "ftd"
"als" -- "mnd"
"als" -- "neurodegeneration"
"hepatologia" -- "gastroenterologia"
"hellenistic poetry" -- "greek tragedy"
"cellular metabolism" -- "nutrition"
"physics of fluids" -- "complex fluids"
"landfill" -- "waste management"
"colonial history" -- "environmental history"
"colonial history" -- "imperialism"
"metallic glasses" -- "combinatorial materials science"
"metallic glasses" -- "materials science"
"educació" -- "sostenibilitat"
"international commercial law" -- "conflict of laws"
"international commercial law" -- "international commercial arbitration"
"water technology" -- "reuse"
"quantum chromodynamics" -- "particle physics"
"quantum chromodynamics" -- "top quark physics"
"quantum chromodynamics" -- "volume visualization"
"process technology" -- "sige"
"irish" -- "romanticism"
"irish" -- "minority languages"
"ipe" -- "international development"
"pmu" -- "wams"
"pmu" -- "smart grid"
"rarefied gas flows" -- "heat"
"social software engineering" -- "mining software repositories"
"human ecology" -- "sustainability"
"human ecology" -- "avian migration"
"building energy simulation" -- "heat transfer"
"cilia" -- "primary ciliary dyskinesia"
"cilia" -- "cell biology"
"cilia" -- "centrosome"
"race studies" -- "film studies"
"tratamiento de aguas" -- "ingeniería química"
"externalizing psychopathology" -- "behavioral genetics"
"chemokines" -- "immunology"
"chemokines" -- "adhesion molecules"
"chemokines" -- "inflammation biology"
"human-agent interaction" -- "artificial intelligence"
"graphical models" -- "machine learning"
"impedance control" -- "surgical robotics"
"smart actuators" -- "sensors"
"biochemisty" -- "molecular biology"
"wastewater treatment processes" -- "rheology of polymer melts"
"prostheses" -- "locomotion"
"ecología de comunidades" -- "biología de la conservación"
"construction engineering" -- "management"
"construction engineering" -- "construction automation"
"construction engineering" -- "project"
"construction engineering" -- "virtual augmented reality"
"young consumers" -- "social marketing"
"assessment" -- "peer assessment"
"assessment" -- "intervention"
"assessment" -- "medical education"
"assessment" -- "school psychology"
"assessment" -- "personality"
"assessment" -- "feedback"
"assessment" -- "evaluation"
"assessment" -- "writing assessment"
"assessment" -- "assessment in higher education"
"assessment" -- "personality theory"
"assessment" -- "wood mechanics"
"assessment" -- "personality pathology"
"assessment" -- "reflective learning"
"assessment" -- "research services"
"assessment" -- "educational research"
"assessment" -- "medical education research"
"assessment" -- "personality assessment"
"metric geometry" -- "mathematics"
"gene therapy" -- "viral vectors"
"gene therapy" -- "retinal degeneration"
"gene therapy" -- "adeno-associated virus"
"gene therapy" -- "musculoskeletal biology"
"gene therapy" -- "adenovirus"
"gene therapy" -- "transfection"
"gene therapy" -- "gene editing"
"gene therapy" -- "aav"
"gene therapy" -- "neuroscience"
"gene therapy" -- "voltage-gated calcium channels"
"gene therapy" -- "oncolytic virotherapy"
"medication adherence" -- "pharmacoepidemiology"
"medication adherence" -- "geriatric pharmacy"
"medication adherence" -- "patient-provider communication"
"philosophie des sciences" -- "épistémologie"
"philosophie des sciences" -- "economy"
"philosophie des sciences" -- "sciences sociales"
"wireless energy harvesting" -- "stochastic geometry"
"gamma rays" -- "cosmic rays"
"adversarial machine learning" -- "privacy"
"yeast ecology" -- "gene expression evolution"
"proje yönetimi" -- "stratejik yönetim"
"arm" -- "cuda"
"high pressure science" -- "materials science"
"upper atmosphere" -- "ionosphere"
"pathology informatics" -- "bioinformatics"
"imprecise probabilities" -- "artificial intelligence"
"oxygen reduction reaction" -- "oxygen evolution reaction"
"oxygen reduction reaction" -- "electrochemistry"
"mammalogy" -- "conservation biology"
"mammalogy" -- "conservation paleobiology"
"trustworthy computing" -- "privacy"
"stoichiometry" -- "metabolic theory"
"brain" -- "mri"
"brain" -- "gene silencing"
"brain" -- "hf"
"brain" -- "snails"
"brain" -- "small"
"brain" -- "neurovascular unit"
"brain" -- "coordination dynamics"
"brain" -- "fetal monitoring"
"nanogeoscience" -- "geomicrobiology"
"low temperature physics" -- "condensed matter physics"
"evidence-based practice" -- "mental health"
"slavic linguistics" -- "syntax"
"stereoscopy" -- "telecommunications"
"host-parasite interactions" -- "insect immunity"
"host-parasite interactions" -- "evolution"
"host-parasite interactions" -- "trypanosoma"
"food biochemistry" -- "food chemistry"
"mixed-signal ic" -- "analog"
"hybrid zones" -- "population genetics"
"sonic interaction design" -- "sound"
"educational games" -- "serious games"
"sediment geochemistry" -- "hydrogeology"
"contaminants of emerging concern" -- "exposome"
"biodiesel production" -- "renewable energy"
"polymer nanomaterials" -- "biosensors"
"marketing strategy" -- "marketing channels"
"marketing strategy" -- "innovation"
"marketing strategy" -- "marketing-finance interface"
"marketing strategy" -- "marketing analytics"
"marketing strategy" -- "global marketing"
"asic design" -- "verification"
"autonomous cars" -- "hybrid vehicles"
"lattice materials" -- "cellular solids"
"cancer gene therapy" -- "vaccine development"
"thermochemistry" -- "computational chemistry"
"data mining" -- "healthcare analytics"
"data mining" -- "sequence mining"
"data mining" -- "manufacturing informatics"
"data mining" -- "social media mining"
"data mining" -- "technology forecasting"
"data mining" -- "coal mining"
"data mining" -- "knowledge graph"
"data mining" -- "decision support systems"
"data mining" -- "formal concept analysis"
"data mining" -- "business analytics"
"data mining" -- "yield enhancement"
"data mining" -- "applied machine learning"
"data mining" -- "machine learning"
"data mining" -- "recommendation"
"data mining" -- "information networks"
"data mining" -- "information network analysis"
"data mining" -- "business intelligence"
"data mining" -- "information retreival"
"data mining" -- "social media analytics"
"data mining" -- "time series mining"
"data mining" -- "social network analysis"
"data mining" -- "graph mining"
"data mining" -- "kdd"
"data mining" -- "e-learning technologies"
"data mining" -- "umělá inteligence"
"data mining" -- "knowledge discovery in databases"
"data mining" -- "web information retrieval"
"data mining" -- "outlier detection"
"data mining" -- "deep web"
"data mining" -- "uncertain data"
"data mining" -- "social network mining"
"data mining" -- "complex event processing"
"data mining" -- "frequent pattern mining"
"data mining" -- "uncertain databases"
"data mining" -- "vulnerability assessment"
"data mining" -- "data privacy"
"data mining" -- "persuasive systems"
"data mining" -- "data warehousing"
"data mining" -- "unsupervised machine learning"
"data mining" -- "graph analysis"
"data mining" -- "spatial data management"
"data mining" -- "co-clustering"
"data mining" -- "medical informatics"
"data mining" -- "robust statistics"
"data mining" -- "databases"
"data mining" -- "fraud detection"
"data mining" -- "database systems"
"data mining" -- "streaming algorithms"
"data mining" -- "web mining"
"data mining" -- "health informatics"
"data mining" -- "database management"
"data mining" -- "social networks"
"data mining" -- "visual data analytics"
"data mining" -- "clustering"
"data mining" -- "data modeling"
"data mining" -- "clustering algorithms"
"data mining" -- "data streams"
"data mining" -- "classification algorithms"
"enteric nervous system" -- "neuroscience"
"cancer pain" -- "pelvic pain"
"peer relations" -- "bullying"
"peer relations" -- "loneliness"
"turkey" -- "migration"
"growth hormone" -- "diabetes"
"www" -- "databases"
"structural fire engineering" -- "structural engineering"
"updating" -- "task switching"
"stochastic optimization" -- "operations research"
"gestão" -- "gestão do conhecimento"
"targeted cancer therapy" -- "cancer stem cells"
"infectious diseases" -- "immunology"
"infectious diseases" -- "mrsa"
"infectious diseases" -- "healthcare-associated infections"
"infectious diseases" -- "molecular diagnostics"
"infectious diseases" -- "tuberculosis"
"infectious diseases" -- "primary immunodeficiencies"
"infectious diseases" -- "streptococcus pneumoniae"
"infectious diseases" -- "metal homeostasis"
"infectious diseases" -- "infection control"
"infectious diseases" -- "malaria"
"infectious diseases" -- "molecular epidemiology"
"infectious diseases" -- "transmission dynamics"
"infectious diseases" -- "lyme disease"
"infectious diseases" -- "immunoparasitology"
"infectious diseases" -- "antimicrobial stewardship"
"infectious diseases" -- "cholera"
"infectious diseases" -- "pediatrics"
"infectious diseases" -- "clinical microbiology"
"infectious diseases" -- "mucosal immunity"
"infectious diseases" -- "tropical medicine"
"numerical solution of partial differential" -- "finite volume method"
"mafia" -- "organized crime"
"computer go" -- "artificial intelligence"
"multilevel" -- "latent variable models"
"oral maxillofacial surgery" -- "molecular biology"
"video technology" -- "machine learning"
"polychaetes" -- "cambrian explosion"
"public relations" -- "organisational communication"
"public relations" -- "crisis communication"
"public relations" -- "social identity theory"
"public relations" -- "content marketing"
"public relations" -- "public affairs"
"public relations" -- "social construction"
"public relations" -- "communication management"
"public relations" -- "social media"
"public relations" -- "reputation management"
"public relations" -- "corporate communication"
"public relations" -- "inter-"
"public relations" -- "issues management"
"conservation" -- "orchids"
"conservation" -- "landscape change"
"conservation" -- "bird ecology"
"conservation" -- "seabirds"
"conservation" -- "species"
"conservation" -- "ecology"
"conservation" -- "marine turtles"
"conservation" -- "oil palm"
"conservation" -- "protected areas"
"conservation" -- "habitat"
"conservation" -- "restoration"
"work motivation" -- "leadership"
"bme" -- "biosensors"
"innovation adoption" -- "diffusion"
"healthcare operations" -- "operations management"
"homeostasis" -- "cancer"
"job insecurity" -- "well-being"
"trace metals" -- "mercury"
"memoir" -- "autobiography"
"computational biochemistry" -- "biophysics"
"nonparametric" -- "semiparametric models"
"nonparametric" -- "applied econometrics"
"nonparametric" -- "semiparametric statistics"
"contemporary literature" -- "modernism"
"laser applications" -- "photonics"
"perception" -- "number cognition"
"perception" -- "visual control of action"
"perception" -- "color theory"
"perception" -- "action"
"perception" -- "attention"
"perception" -- "functional magnetic resonance imaging"
"perception" -- "short-term memory"
"extracellular vesicles" -- "exosomes"
"protein-polymer conjugates" -- "liquid crystals"
"group communication" -- "communication technology"
"psicometría" -- "psychometrics"
"psicometría" -- "análisis de datos"
"snow" -- "hydrology"
"snow" -- "ice physics"
"regional modelling" -- "extratropical cyclones"
"regional modelling" -- "urban"
"cryptococcus" -- "macrophages"
"biointerface science" -- "nanotech"
"turbidity currents" -- "sediment transport"
"environmental photochemistry" -- "atmospheric chemistry"
"environmental perception" -- "spatial epidemiology"
"cell death" -- "heat shock proteins"
"cell death" -- "autophagy"
"primary health care" -- "public health"
"primary health care" -- "community nursing"
"probabilistic databases" -- "databases"
"theoretical linguistics" -- "syntax"
"french" -- "francophone literature"
"french" -- "linguistics"
"french" -- "francophone studies"
"media anthropology" -- "digital anthropology"
"fluidics" -- "colloids"
"química orgânica" -- "síntese orgânica"
"química orgânica" -- "química de produtos naturais"
"química orgânica" -- "biocatálise"
"química orgânica" -- "produtos naturais"
"química orgânica" -- "fotoquímica"
"química orgânica" -- "ecologia microbiana"
"química orgânica" -- "química"
"nuclear structure" -- "nuclear astrophysics"
"polar meteorology" -- "mesoscale meteorology"
"uwb antennas" -- "microwave imaging"
"occupational medicine" -- "environmental health"
"methanotrophy" -- "microbial physiology"
"conservation agriculture" -- "soil science"
"foundation engineering" -- "geotechnical engineering"
"armed conflict" -- "war"
"seismic wave propagation" -- "seismology"
"medical decision making" -- "operations research"
"dataflow modeling" -- "network-on-chip"
"work function" -- "fabrication"
"stuff" -- "compilers"
"glycomics" -- "proteomics"
"rural studies" -- "human geography"
"rural studies" -- "19th"
"human behaviour analysis" -- "human-robot interaction"
"akışkanlar mekaniği" -- "sayısal yöntemler"
"akışkanlar mekaniği" -- "combustion"
"rietveld method" -- "materials science"
"engineering dynamics" -- "vibration"
"school engagement" -- "schools"
"participatory journalism" -- "journalism studies"
"chalcolithic" -- "neolithic"
"chalcolithic" -- "early bronze age"
"proof theory" -- "non-classical logics"
"proof theory" -- "logic"
"university-industry relations" -- "innovation"
"university-industry relations" -- "impact analysis"
"photobiology" -- "biophysics"
"restoration ecology" -- "conservation biology"
"restoration ecology" -- "plant community ecology"
"restoration ecology" -- "invasive plant ecology"
"restoration ecology" -- "seed ecology"
"restoration ecology" -- "grasslands"
"restoration ecology" -- "wetland ecology"
"community health nursing" -- "prevention"
"medical humanities" -- "disability studies"
"mesoscopic transport" -- "topological insulators"
"neglected tropical diseases" -- "vector-borne diseases"
"invertebrates" -- "marine biology"
"thermal sciences" -- "heat transfer"
"thermal sciences" -- "nanoscale heat transfer"
"patter recognition" -- "big data analytics"
"applied ethology" -- "animal welfare"
"discharge" -- "plasma"
"psychopathologie" -- "psychologie"
"classical archaeology" -- "archaeology"
"comminution" -- "mineral processing"
"menopause" -- "women s health"
"animal breeding" -- "genetics"
"animal breeding" -- "genomic selection"
"animal breeding" -- "quantitative genomics"
"nucleation" -- "molecular simulation"
"nucleation" -- "rare events"
"reduced order modeling" -- "computational fluid dynamics"
"reduced order modeling" -- "computational aeroelasticity"
"numeracy" -- "emotion"
"small" -- "medium enterprises"
"toddlers" -- "infant"
"special functions" -- "fourier analysis"
"special functions" -- "orthogonal polynomials"
"special functions" -- "integral transforms"
"agent-oriented software engineering" -- "software engineering"
"disease surveillance" -- "epidemiology"
"critical pedagogy" -- "bricolage"
"critical pedagogy" -- "education"
"critical pedagogy" -- "transformative learning"
"plant stress response" -- "plant biology"
"lipid chemistry" -- "functional foods"
"fairness" -- "cooperation"
"germination" -- "weed science"
"text mining" -- "authorship attribution"
"text mining" -- "b2b"
"text mining" -- "literature-based discovery"
"text mining" -- "language engineering"
"text mining" -- "authorship analysis"
"text mining" -- "machine learning"
"text mining" -- "graph data management"
"text mining" -- "privacy preserving data mining"
"computational medicinal chemistry" -- "molecular modeling"
"system administration" -- "computer security"
"speaker" -- "language recognition"
"library management" -- "information literacy"
"economic dynamics" -- "complex systems"
"poly(lactic acid)" -- "polymers"
"freshwater biodiversity" -- "aquatic ecology"
"methane activation" -- "heterogeneous catalysis"
"single-molecule spectroscopy" -- "biophysics"
"colloids" -- "emulsions"
"colloids" -- "electrophoretic deposition"
"colloids" -- "asphaltenes"
"colloids" -- "fluid physics"
"colloids" -- "interfaces"
