"perceptual decision making" -- "attention"
"therapeutic residential care" -- "child welfare"
"chemical vapor deposition" -- "pulsed laser deposition"
"chemical vapor deposition" -- "physical vapor deposition"
"mercado de trabalho" -- "políticas públicas"
"saxs" -- "biophysics"
"saxs" -- "sans"
"orçamento" -- "controladoria"
"automata processing" -- "computer architecture"
"agricultural research" -- "social protection"
"dielectric resonator antennas" -- "computational electromagnetics"
"system simulation" -- "applied stochastic processes"
"interface mechanics" -- "soft materials"
"structural dna nanotechnology" -- "molecular computing"
"pupillometry" -- "meaning"
"geographical education" -- "urban renewal"
"diagrams" -- "grounded theory"
"arfi" -- "ultrasound"
"experimental mechanics" -- "photomechanics"
"experimental mechanics" -- "solid mechanics"
"model-based development" -- "software engineering"
"aerosol optical properties" -- "black carbon"
"critical legal theory" -- "feminist legal theory"
"vaccines" -- "immunology"
"vaccines" -- "immunisation"
"vaccines" -- "respiratory diseases"
"vaccines" -- "tumour immunology"
"vaccines" -- "otitis media"
"online social support" -- "children"
"functional observers" -- "time-delay systems"
"numismatica" -- "archeologia"
"critical leadership studies" -- "leadership development"
"bilingual education" -- "chicana feminism"
"bilingual education" -- "language rights"
"bilingual education" -- "english language learners"
"bilingual education" -- "education"
"bilingual education" -- "dual language education"
"ciência e tecnologia" -- "políticas públicas"
"anal cancer" -- "crc"
"anal cancer" -- "cervical cancer"
"ecosystems" -- "biodiversity"
"sustainable resource management" -- "industrial ecology"
"jewish literature" -- "german history"
"educational linguistics" -- "sociolinguistics"
"invasion" -- "metastasis"
"solar fuel conversion" -- "electronics"
"product configuration" -- "mass customization"
"product configuration" -- "complexity management"
"partial differential" -- "numerical analysis"
"rf energy harvesting" -- "antennas"
"alkaline rocks" -- "petrology"
"cardiovascular mathematics" -- "applied mathematics"
"groundwater remediation" -- "soil"
"nonadiabatic dynamics" -- "electronic dynamics"
"nonadiabatic dynamics" -- "quantum dynamics"
"nonadiabatic dynamics" -- "quantum trajectories"
"media art" -- "hci"
"media art" -- "sound art"
"macroinvertebrates" -- "freshwater ecology"
"agricultural finance" -- "agricultural economics"
"celiac disease" -- "gastroenterology"
"ilustração" -- "publicidad"
"gene synthesis" -- "protein design"
"medienbildung" -- "internet studies"
"medienbildung" -- "medienpädagogik"
"french literature" -- "comparative literature"
"history of modern physics" -- "philosophy of physics"
"natural refrigerants" -- "microscale transport"
"biochemical engineering" -- "molecular techniques"
"biochemical engineering" -- "bacillus"
"biochemical engineering" -- "bioseparation"
"biochemical engineering" -- "bioelectrochemical processes"
"biochemical engineering" -- "biotechnology"
"daylighting" -- "architectural lighting"
"daylighting" -- "building performance simulation"
"daylighting" -- "human comfort"
"daylighting" -- "glare"
"daylighting" -- "visual comfort"
"mitochondrial biogenesis" -- "oxidative stress"
"pharmacology toxicology" -- "autophagy"
"renal medicine" -- "nutrition"
"radiocarbon dating" -- "archaeology"
"molecular mechanisms" -- "computational chemistry"
"family therapy" -- "marriage"
"use-wear analysis" -- "experimental archaeology"
"administração" -- "contabilidad"
"administração" -- "gestão universitária"
"cytokine biology" -- "immunology"
"music production" -- "asian studies"
"informática educativa" -- "educación"
"assurance" -- "auditing"
"qualitative comparative analysis (qca)" -- "sociology of education"
"noncommutative geometry" -- "mathematical physics"
"noncommutative geometry" -- "index theory"
"noncommutative geometry" -- "dirac operators"
"economic forecasting" -- "applied econometrics"
"spectroscopy" -- "soft x-ray"
"spectroscopy" -- "magnetic properties"
"spectroscopy" -- "single particle tracking"
"spectroscopy" -- "amorphous materials"
"spectroscopy" -- "luminescence"
"spectroscopy" -- "libs"
"spectroscopy" -- "metalloenzymes"
"spectroscopy" -- "ultrafast imaging"
"spectroscopy" -- "physical chemistry"
"spectroscopy" -- "mid-infrared"
"spectroscopy" -- "infrared"
"spectroscopy" -- "ftir"
"spectroscopy" -- "chemical imaging"
"spectroscopy" -- "process analytical technology"
"spectroscopy" -- "xas"
"spectroscopy" -- "biophysical chemistry"
"pid control" -- "process control"
"intergroup attitudes" -- "prejudice"
"bioengenharia" -- "prótese dentária"
"watersheds" -- "hydrology"
"biblioteconomia" -- "história do livro"
"biblioteconomia" -- "formación de usuarios"
"biblioteconomia" -- "ciência da informação"
"biblioteconomia" -- "normalização"
"regional integration" -- "international political economy"
"cloud physics" -- "radar meteorology"
"cloud physics" -- "aerosols"
"cloud physics" -- "weather modification"
"criminal psychology" -- "criminology"
"statistical pattern recognition" -- "machine learning"
"longitudinal data" -- "nonparametric inference"
"longitudinal data" -- "bayesian biostatistics"
"longitudinal data" -- "biostatistics"
"teoria antropológica" -- "antropologia urbana"
"amorphous solid dispersion" -- "food chemistry"
"scholarship" -- "digital humanities"
"clinical pharmacokinetics" -- "systems pharmacology"
"string theory" -- "gr"
"string theory" -- "particle phenomenology"
"string theory" -- "gravity duality"
"string theory" -- "quantum field theory"
"string theory" -- "theoretical high energy physics"
"string theory" -- "ads"
"string theory" -- "m-theory"
"string theory" -- "supersymmetry"
"string theory" -- "supergravity"
"psicofarmacologia" -- "psichiatria"
"canadian studies" -- "stosunki międzynarodowe"
"canadian studies" -- "postcolonial studies"
"system in package" -- "antennas"
"scenario planning" -- "technology management"
"moleküler biyoloji" -- "genetik"
"moleküler biyoloji" -- "biyokimya"
"conservazione" -- "restauro"
"institutional ethnography" -- "health human resources"
"anthropological genetics" -- "statistical genetics"
"asexuality" -- "evolution of sex"
"univhelsinkics" -- "machine learning"
"input-output modelling" -- "floods"
"pulmonary hypertension" -- "cardiac magnetic resonance imaging"
"pulmonary hypertension" -- "pulmonary embolism"
"pulmonary hypertension" -- "sickle cell"
"pulmonary hypertension" -- "pulmonary circulation"
"pulmonary hypertension" -- "right ventricle"
"pulmonary hypertension" -- "hypoxia"
"pulmonary hypertension" -- "adult congenital heart disease"
"pulmonary hypertension" -- "acute lung injury"
"stuttering" -- "fluency disorders"
"stuttering" -- "speech motor control"
"machine learning" -- "kernel methods"
"machine learning" -- "submodular optimization"
"machine learning" -- "computational learning theory"
"machine learning" -- "natural language processing"
"machine learning" -- "dynamic modeling"
"machine learning" -- "biometric authentication"
"machine learning" -- "resistive memory"
"machine learning" -- "meta-learning"
"machine learning" -- "quasi-monte carlo"
"machine learning" -- "semiconductor manufacturing"
"machine learning" -- "data science"
"machine learning" -- "data"
"machine learning" -- "signal processing"
"machine learning" -- "dialog systems"
"machine learning" -- "kriging"
"machine learning" -- "generative models"
"machine learning" -- "risk stratification"
"machine learning" -- "regression"
"machine learning" -- "neural computation"
"machine learning" -- "cluster analysis"
"machine learning" -- "social media analysis"
"machine learning" -- "active learning"
"machine learning" -- "digital health"
"machine learning" -- "mobile healthcare"
"machine learning" -- "crowdsourcing"
"machine learning" -- "computational neuroscience"
"machine learning" -- "information retrieval"
"machine learning" -- "biomedical data analysis"
"machine learning" -- "statistical estimation"
"machine learning" -- "recommender systems"
"machine learning" -- "biomedical informatics"
"machine learning" -- "spoken dialogue systems"
"machine learning" -- "biological computation"
"machine learning" -- "natural langauge processing"
"machine learning" -- "2d"
"machine learning" -- "predictive modeling"
"machine learning" -- "biological databases"
"machine learning" -- "unsupervised learning"
"machine learning" -- "data ming"
"machine learning" -- "digital image processing"
"machine learning" -- "public safety"
"machine learning" -- "fuzzy systems"
"machine learning" -- "indoor positioning"
"machine learning" -- "spoken dialog systems"
"machine learning" -- "sparse"
"machine learning" -- "optimization methods"
"machine learning" -- "pattern classification"
"machine learning" -- "biomedicine"
"machine learning" -- "chemical informatics"
"machine learning" -- "multimedia information retrieval"
"machine learning" -- "neurotechnology"
"machine learning" -- "visual signal processing"
"machine learning" -- "handwriting recognition"
"machine learning" -- "relational learning"
"machine learning" -- "computational health science"
"machine learning" -- "computational social science"
"machine learning" -- "sign language recognition"
"machine learning" -- "manifold learning"
"machine learning" -- "computational cognitive science"
"machine learning" -- "music informatics"
"machine learning" -- "sports analytics"
"machine learning" -- "time series prediction"
"machine learning" -- "human-robot collaboration"
"machine learning" -- "data clustering"
"machine learning" -- "feature selection"
"machine learning" -- "computational ecology"
"machine learning" -- "statistical network analysis"
"machine learning" -- "image segmentation"
"machine learning" -- "image annotation"
"machine learning" -- "nonparametric bayesian methods"
"machine learning" -- "radiogenomics"
"machine learning" -- "data analytics"
"machine learning" -- "audio analysis"
"machine learning" -- "web accessibility"
"machine learning" -- "computational epidemiology"
"machine learning" -- "non-negative matrix factorization"
"machine learning" -- "spoken language processing"
"machine learning" -- "applied statistics"
"machine learning" -- "big data analytics"
"machine learning" -- "big data analysis"
"machine learning" -- "bayesian inference"
"machine learning" -- "medical image processing"
"machine learning" -- "distributed source coding"
"machine learning" -- "hypothesis testing"
"machine learning" -- "bioinformatics"
"machine learning" -- "intelligent transportation systems"
"machine learning" -- "network data analysis"
"machine learning" -- "support vector machines"
"machine learning" -- "variable selection"
"machine learning" -- "hyperspectral image processing"
"machine learning" -- "molecular design"
"machine learning" -- "machine teaching"
"machine learning" -- "desarrollo de software"
"machine learning" -- "digital signal processing"
"machine learning" -- "language identification"
"machine learning" -- "computer-aided detection"
"machine learning" -- "reservoir computing"
"machine learning" -- "multivariate statistics"
"machine learning" -- "engineering informatics"
"machine learning" -- "speech signal processing"
"machine learning" -- "auditory scene analysis"
"machine learning" -- "predictive analysis"
"machine learning" -- "information fusion"
"machine learning" -- "speech separation"
"machine learning" -- "mobile crowdsourcing"
"machine learning" -- "emotion recognition"
"machine learning" -- "supervised classification"
"machine learning" -- "bayesian optimization"
"machine learning" -- "biosignal processing"
"machine learning" -- "materials informatics"
"machine learning" -- "computational sustainability"
"machine learning" -- "neural networks"
"machine learning" -- "optimization"
"machine learning" -- "computational physiology"
"machine learning" -- "computer vision"
"machine learning" -- "medical image segmentation"
"machine learning" -- "classification"
"machine learning" -- "medical applications"
"machine learning" -- "natural language processing (nlp)"
"machine learning" -- "numerical optimization"
"machine learning" -- "bio-inspired computing"
"machine learning" -- "interactive learning"
"machine learning" -- "data fusion"
"machine learning" -- "statistical machine translation"
"machine learning" -- "time series analysis"
"machine learning" -- "nonlinear dynamical systems"
"machine learning" -- "wearable sensors"
"machine learning" -- "web intelligence"
"machine learning" -- "statistical computing"
"machine learning" -- "variational inference"
"machine learning" -- "data processing"
"machine learning" -- "auditory models"
"machine learning" -- "web architectures"
"machine learning" -- "scalable algorithms"
"machine learning" -- "affective computing"
"machine learning" -- "systems biomedicine"
"machine learning" -- "quantitative methods in finance"
"machine learning" -- "vulnerability detection"
"machine learning" -- "sonar systems"
"machine learning" -- "algorithm development"
"machine learning" -- "computer audition"
"machine learning" -- "general aviation"
"machine learning" -- "algorithmic trading"
"machine learning" -- "statistical signal processing"
"machine learning" -- "topic modeling"
"machine learning" -- "neural"
"machine learning" -- "retrieval"
"machine learning" -- "large scale data mining"
"machine learning" -- "convex optimization"
"machine learning" -- "deep neural networks"
"machine learning" -- "smart health"
"machine learning" -- "computer vison"
"machine learning" -- "content-based image retrieval"
"machine learning" -- "sensing systems"
"machine learning" -- "bayesian networks"
"machine learning" -- "probabilistic graphical models"
"machine learning" -- "causality"
"machine learning" -- "database analysis"
"machine learning" -- "neuroscience"
"machine learning" -- "intelligent data analysis"
"machine learning" -- "medical imaging informatics"
"machine learning" -- "spoken language understanding"
"machine learning" -- "music information retrieval"
"machine learning" -- "statistical natural language processing"
"machine learning" -- "time series data mining"
"machine learning" -- "data visualization"
"machine learning" -- "software development tools"
"machine learning" -- "spatio-temporal modeling"
"machine learning" -- "probabilistic logic"
"machine learning" -- "ai"
"machine learning" -- "feature detection"
"machine learning" -- "geolocation"
"machine learning" -- "statistical theory"
"machine learning" -- "smart home"
"machine learning" -- "pervasive healthcare"
"machine learning" -- "predictive analytics"
"machine learning" -- "approximate inference"
"machine learning" -- "learning to rank"
"machine learning" -- "human-machine systems"
"machine learning" -- "differential psychology"
"machine learning" -- "multi-armed bandits"
"machine learning" -- "cyber-physical security"
"machine learning" -- "statistical relational learning"
"machine learning" -- "malware detection"
"machine learning" -- "gesture recognition"
"machine learning" -- "table tennis"
"machine learning" -- "text categorization"
"machine learning" -- "collective intelligence"
"machine learning" -- "human activity recognition"
"machine learning" -- "informatique"
"machine learning" -- "network analysis"
"machine learning" -- "computational health informatics"
"machine learning" -- "radiomics"
"machine learning" -- "speech technology"
"machine learning" -- "statistical learning theory"
"machine learning" -- "semi-supervised learning"
"machine learning" -- "healthcare"
"machine learning" -- "indoor localization"
"machine learning" -- "multimedia search"
"machine learning" -- "inference"
"machine learning" -- "nlp"
"machine learning" -- "aviation safety"
"machine learning" -- "adaptive signal processing"
"machine learning" -- "statistical finance"
"machine learning" -- "data minning"
"machine learning" -- "bayesian methods"
"machine learning" -- "signal analysis"
"machine learning" -- "text analysis"
"machine learning" -- "heath"
"machine learning" -- "multivariate analysis"
"machine learning" -- "imitation learning"
"machine learning" -- "grammatical inference"
"machine learning" -- "production systems"
"machine learning" -- "bayesian modeling"
"machine learning" -- "graph signal processing"
"machine learning" -- "high dimensional data analysis"
"machine learning" -- "applied math"
"machine learning" -- "matrix factorization"
"machine learning" -- "sparse coding"
"machine learning" -- "declarative programming languages"
"machine learning" -- "behavioral signal processing"
"machine learning" -- "brain-machine interfaces"
"machine learning" -- "fuzzy clustering"
"machine learning" -- "metric learning"
"machine learning" -- "cytometry"
"machine learning" -- "sar image processing"
"machine learning" -- "failure prediction"
"machine learning" -- "cortical processing"
"machine learning" -- "medical image analysis"
"machine learning" -- "contact geometry"
"machine learning" -- "construction engineering management"
"machine learning" -- "sentiment mining"
"machine learning" -- "intelligent systems"
"machine learning" -- "deep learning"
"machine learning" -- "multi-task learning"
"machine learning" -- "large-scale optimization"
"machine learning" -- "intelligent robotics"
"machine learning" -- "nature inspired algorithms"
"machine learning" -- "time series forecasting"
"machine learning" -- "speech recognition"
"machine learning" -- "kalman filter"
"machine learning" -- "nonparametric statistics"
"machine learning" -- "large-scale"
"machine learning" -- "intelligence computing"
"machine learning" -- "dynamic bayesian networks"
"machine learning" -- "distributed optimization"
"machine learning" -- "microcontrollers"
"machine learning" -- "biomedical signal processing"
"machine learning" -- "computational harmonic analysis"
"machine learning" -- "mechanics of composite materials"
"machine learning" -- "sparse modeling"
"machine learning" -- "computer assisted instruction"
"machine learning" -- "computational advertising"
"machine learning" -- "discrete applied mathematics"
"machine learning" -- "ensemble methods"
"machine learning" -- "nonconvex optimization"
"machine learning" -- "big data"
"machine learning" -- "relation extraction"
"machine learning" -- "video game ai"
"machine learning" -- "random forests"
"machine learning" -- "computational scientific discovery"
"machine learning" -- "sequential decision making"
"machine learning" -- "tensor analysis"
"machine learning" -- "breast cancer imaging"
"machine learning" -- "robot motion planning"
"machine learning" -- "video coding standards"
"machine learning" -- "mobile health"
"machine learning" -- "statistical data analysis"
"machine learning" -- "hyperspectral analysis"
"machine learning" -- "aritificial intelligence"
"machine learning" -- "computational models of cognition"
"machine learning" -- "noise analysis"
"machine learning" -- "computational statistics"
"machine learning" -- "simulation-based optimization"
"machine learning" -- "trajectory prediction"
"machine learning" -- "fotogrametría"
"machine learning" -- "cognitive computing"
"machine learning" -- "optimization algorithms"
"machine learning" -- "neural systems"
"machine learning" -- "activity recognition"
"machine learning" -- "causal discovery"
"machine learning" -- "induced"
"machine learning" -- "dimensionality reduction"
"machine learning" -- "smart data"
"machine learning" -- "artificial intelligence"
"machine learning" -- "traffic estimation"
"machine learning" -- "multimedia computing"
"machine learning" -- "artificial cognitive systems"
"machine learning" -- "video summarization"
"machine learning" -- "robot planning"
"machine learning" -- "cognitive systems"
"machine learning" -- "computational finance"
"machine learning" -- "human motion analysis"
"machine learning" -- "human pose estimation"
"machine learning" -- "hardware acceleration"
"machine learning" -- "text as data"
"machine learning" -- "energy monitoring"
"machine learning" -- "probabilistic modeling"
"machine learning" -- "handwritten text recognition"
"machine learning" -- "segmentation"
"machine learning" -- "multimedia analytics"
"machine learning" -- "bio-inspired engineering"
"machine learning" -- "statistics"
"machine learning" -- "bayesian statistics"
"machine learning" -- "distributed learning"
"machine learning" -- "neural signal processing"
"machine learning" -- "multimedia retrieval"
"machine learning" -- "speaker recognition"
"machine learning" -- "apis"
"machine learning" -- "networked dynamical systems"
"machine learning" -- "dmml"
"machine learning" -- "brain computer interface"
"machine learning" -- "quantitative text analysis"
"machine learning" -- "algorithms"
"machine learning" -- "data analysis"
"machine learning" -- "tensor decomposition"
"machine learning" -- "high-dimensional statistics"
"machine learning" -- "large-scale data analysis"
"machine learning" -- "ensemble learning"
"machine learning" -- "change point analysis"
"machine learning" -- "neural nets"
"machine learning" -- "smartphone security"
"machine learning" -- "recurrent neural networks"
"machine learning" -- "pattern recognition"
"machine learning" -- "assisted living"
"machine learning" -- "artifical intelligence"
"machine learning" -- "makine öğrenmesi"
"machine learning" -- "structured prediction"
"machine learning" -- "domain adaptation"
"machine learning" -- "text classification"
"machine learning" -- "healthcare informatics"
"machine learning" -- "gaussian processes"
"machine learning" -- "motor neuroscience"
"machine learning" -- "svm"
"machine learning" -- "statistical modeling"
"machine learning" -- "bayesian analysis"
"machine learning" -- "statistical inference"
"machine learning" -- "statistical analysis"
"machine learning" -- "matrix completion"
"machine learning" -- "human behaviour"
"machine learning" -- "multi-label learning"
"machine learning" -- "its applications"
"machine learning" -- "transfer learning"
"linguistik" -- "morphologie"
"consumer health information" -- "library science"
"numerical linear algebra" -- "multigrid methods"
"numerical linear algebra" -- "preconditioning"
"numerical linear algebra" -- "matrix functions"
"numerical linear algebra" -- "mathematical software"
"numerical linear algebra" -- "scientific"
"numerical linear algebra" -- "numerical analysis"
"pressure ulcers" -- "wounds"
"air-sea interaction" -- "physical oceanography"
"air-sea interaction" -- "ice-ocean interactions"
"air-sea interaction" -- "marine meteorology"
"nutrient recycling" -- "carbon"
"sistemas de inovação" -- "gestão do conhecimento"
"parasites" -- "ecology"
"parasites" -- "bacterial communities"
"compressible turbulence" -- "hypersonics"
"human demography" -- "statistical genetics"
"language use" -- "cognitive science"
"language use" -- "ambulatory assessment"
"transportation networks" -- "intelligent transportation systems"
"parasitologia" -- "biologia molecular"
"flocking" -- "supercooled liquids"
"complex adaptive systems theory" -- "coaching psychology"
"nssi" -- "suicide"
"kinase inhibitors" -- "medicinal chemistry"
"vestibular system" -- "neuroscience"
"drought analysis" -- "hydrology"
"nanoinformatics" -- "biomedical informatics"
"on-surface synthesis" -- "self-assembly"
"on-surface synthesis" -- "covalent organic frameworks"
"human behavior analysis" -- "computer vision"
"biomedical analysis" -- "electrophoresis"
"language variation" -- "change"
"antropologia urbana" -- "sexualidad"
"antropologia urbana" -- "sociologia urbana"
"antropologia urbana" -- "antropologia"
"phase transitions" -- "statistical mechanics"
"value engineering" -- "strategic planning"
"meat" -- "ruminant nutrition"
"préhistoire" -- "archéologie"
"préhistoire" -- "paléontologie"
"theoretical computer science" -- "algorithms"
"auditory science" -- "music"
"corrosion science" -- "bio-based materials"
"corrosion science" -- "electrochemistry"
"corrosion science" -- "corrosion protection"
"fundamentals of quantum mechanics" -- "quantum control"
"geoenvironmental engineering" -- "geotechnical engineering"
"human dimensions" -- "vulnerability"
"shape analysis" -- "computer vision"
"shape analysis" -- "statistics on manifolds"
"shape analysis" -- "computational anatomy"
"online auctions" -- "information science"
"distributed source coding" -- "joint source channel coding"
"target discovery" -- "hts"
"nanophysics" -- "photovoltaic cells"
"nanophysics" -- "materials science"
"nanophysics" -- "two-dimensional nanomaterials"
"civil service" -- "public administration"
"geomatica" -- "fotogrammetria"
"geomatica" -- "cartografia"
"materials selection" -- "characterization"
"materials selection" -- "dfx"
"ultrafiltration" -- "reverse osmosis"
"lung cancer" -- "gi oncology"
"lung cancer" -- "lung fibrosis"
"lung cancer" -- "g-quadruplex"
"lung cancer" -- "medical oncology"
"lung cancer" -- "thoracic oncology"
"lung cancer" -- "community outreach"
"lung cancer" -- "primary cilium"
"lung cancer" -- "urologic cancer"
"lung cancer" -- "bronchoscopy"
"lung cancer" -- "myasthenia gravis"
"lung cancer" -- "developmental therapeutics"
"lung cancer" -- "cardiovascular calcification"
"lung cancer" -- "lung development"
"lung cancer" -- "cancer drug development"
"lung cancer" -- "esophageal cancer"
"lung cancer" -- "chemical genomics"
"lung cancer" -- "interventional pulmonology"
"lung cancer" -- "antimicrobial agents"
"lung cancer" -- "colorectal"
"lung cancer" -- "genitourinary cancer"
"lung cancer" -- "radiation oncology"
"lung cancer" -- "head neck cancer"
"many-body physics" -- "quantum optics"
"labor migration" -- "economic sociology"
"bariatric surgery" -- "obesity"
"bariatric surgery" -- "foregut surgery"
"bariatric surgery" -- "gut hormones"
"bariatric surgery" -- "minimally invasive surgery"
"quantitative immunology" -- "complex systems"
"teens" -- "digital media"
"arctic science" -- "industrial ecology"
"value co-creation" -- "service-dominant logic"
"grasshoppers" -- "orthoptera"
"chloroplast biology" -- "leaf development"
"ciência e engenharia de materiais" -- "thin films"
"resilient systems" -- "disaster medicine"
"insect pathology" -- "biological control"
"terapia fotodinâmica" -- "nanoestruturas"
"terapia fotodinâmica" -- "óptica"
"lexicografía" -- "lingüística"
"lexicografía" -- "terminología"
"lexicografía" -- "fraseología"
"lexicografía" -- "procesamiento del lenguaje natural"
"lexicografía" -- "lexicología"
"tekstil" -- "biyoteknoloji"
"tekstil" -- "konfeksiyon"
"human cognition" -- "lithic technology"
"special" -- "evolutionary ecology"
"special" -- "riemann-hilbert problems"
"polycomb" -- "epigenetics"
"capacitor" -- "batteries"
"capacitor" -- "computational physical chemistry"
"user profiling" -- "recommender systems"
"juvenile delinquency" -- "criminology"
"human learning" -- "memory"
"contratos" -- "derecho civil"
"anaphylaxis" -- "allergy"
"laser absorption spectroscopy" -- "combustion"
"sum-of-squares" -- "hardness of approximation"
"forest biomass" -- "secondary forests"
"politische kommunikation" -- "diskursanalyse"
"renal fibrosis" -- "vascular disease"
"piezoelectric energy harvesting" -- "deterministic chaos"
"piezoelectric energy harvesting" -- "optimization techniques"
"watershed ecology" -- "aquatic ecology"
"androgens" -- "endocrinology"
"polymeric nanocomposites" -- "environmental"
"water research" -- "chemical engineering"
"granger causality" -- "fmri"
"electrocardiography" -- "cardiology"
"private health insurance" -- "healthcare"
"biodiesel" -- "biofuels"
"crystallographic texture" -- "deformation twinning"
"crystallographic texture" -- "ebsd"
"engenharia de software" -- "engenharia de requisitos"
"engenharia de software" -- "informática na educação"
"engenharia de software" -- "tolerância a falhas"
"engenharia de software" -- "banco de dados"
"engenharia de software" -- "gestão de projetos"
"placemaking" -- "urban design"
"wealth" -- "social stratification"
"autonomic nervous system" -- "nervous system development"
"east" -- "modernism"
"rydberg atoms" -- "atomic physics"
"global modeling" -- "land cover change"
"biblical studies" -- "hebrew bible"
"biblical studies" -- "linguistics"
"damage detection" -- "structural health monitoring"
"damage detection" -- "dynamic identification"
"family policy" -- "child"
"family policy" -- "welfare reform"
"family policy" -- "child maltreatment prevention"
"family policy" -- "teacher retention"
"educational sciences" -- "gender"
"clinical education" -- "mental health"
"single-molecule fluorescence spectroscopy" -- "biophysics"
"interaction technology" -- "support vector machines"
"itsm" -- "auditing"
"itsm" -- "itil"
"computer arithmetic" -- "residue number system"
"computer arithmetic" -- "computer architecture"
"large-scale simulation" -- "computational materials science"
"cholesterol metabolism" -- "nutraceuticals"
"spinal" -- "brain tumors"
"impact measurement" -- "bibliometrics"
"fair division" -- "algorithmic game theory"
"expresión corporal" -- "educación física"
"social value" -- "emotion"
"aboriginal education" -- "education"
"evidence theory" -- "biomedical signal processing"
"paleobiogeography" -- "paleontology"
"jewish history" -- "german history"
"community participation" -- "rural health"
"speech therapy" -- "distance learning"
"amorphous semiconductors" -- "modeling"
"cellular decision making" -- "mapk signaling"
"cognitive systems engineering" -- "human factors"
"strings" -- "music"
"strings" -- "quantum fields"
"contact lenses" -- "accommodation"
"contact lenses" -- "dry eye"
"contact lenses" -- "tear film"
"comunicación organizacional" -- "comunicación política"
"news" -- "journalism"
"química inorgânica" -- "catálise"
"química inorgânica" -- "bioinorgânica"
"química inorgânica" -- "química de materiais"
"radiopharmacy" -- "nuclear medicine"
"quantum topology" -- "quantum gravity"
"shells" -- "silos"
"shells" -- "fluid-solid interaction"
"shells" -- "variational principles"
"shells" -- "plates"
"lithium niobate" -- "laser material processing"
"peirce" -- "sound design"
"peirce" -- "education"
"organizational identity" -- "work-family balance"
"organizational identity" -- "innovation"
"organizational identity" -- "strategic orientation"
"organizational identity" -- "multi-sided platforms"
"chemosensation" -- "olfaction"
"bone pathology" -- "dermatopathology"
"wash" -- "international development"
"numerical algorithms" -- "computational fluid dynamics"
"learning across settings" -- "science education"
"novel drug delivery" -- "cardiovascular disorders"
"novel drug delivery" -- "polyamines"
"infant cognition" -- "developmental psychology"
"anti-racism" -- "racism"
"ematologia" -- "oncologia"
"psychological needs" -- "financial incentives"
"psychological needs" -- "motivation"
"medical ethics" -- "bioethics"
"medical ethics" -- "genethics"
"biological wastewater treatment" -- "environmental biotechnology"
"parasitoids" -- "biological control"
"computer software" -- "ecological applications"
"human origins" -- "tobacco history"
"carrier transport" -- "nanocarbon"
"tropical forests" -- "ecology"
"tropical forests" -- "tipping points"
"sol-gel" -- "materials science"
"surface registration" -- "facial recognition"
"full waveform inversion" -- "seismic imaging"
"natural ventilation" -- "cfd"
"analog mixed-signal ic design" -- "semiconductors"
"macchine a fluido" -- "meccanica"
"novel therapeutics" -- "psychiatry"
"particle engineering" -- "pharmaceutical engineering"
"e-journals" -- "resource discovery"
"difference" -- "discourse"
"experimental mathematics" -- "electronic voting"
"electrical impedance spectroscopy" -- "biomedical engineering"
"south africa" -- "aids"
"south africa" -- "zambia"
"structural cell biology" -- "biochemistry"
"augmented human" -- "computational trust"
"augmented human" -- "human-computer interaction"
"km" -- "innovation"
"km" -- "leadership studies"
"automatic programming" -- "lisp"
"automatic programming" -- "functional programming"
"automatic programming" -- "teaching programming"
"enantioselective catalysis" -- "catalysis"
"biomechanics" -- "biotribology"
"biomechanics" -- "upper extremity"
"biomechanics" -- "occupational ergonomics"
"biomechanics" -- "structure-function relationships"
"biomechanics" -- "animal locomotion"
"biomechanics" -- "fracture healing"
"biomechanics" -- "flight"
"biomechanics" -- "gait"
"biomechanics" -- "cardiovascular engineering"
"biomechanics" -- "robotics"
"biomechanics" -- "finite element modeling"
"biomechanics" -- "cardiovascular devices"
"biomechanics" -- "ecomorphology"
"biomechanics" -- "musculoskeletal health"
"biomechanics" -- "rehabilitation engineering"
"biomechanics" -- "neural control"
"biomechanics" -- "experimental stress analysis"
"biomechanics" -- "injury prevention"
"biomechanics" -- "gait analysis"
"biomechanics" -- "musculoskeletal modeling"
"biomechanics" -- "neuromechanics"
"biomechanics" -- "motion analysis"
"biomechanics" -- "human locomotion"
"biomechanics" -- "lower limb"
"biomechanics" -- "ergonomics"
"biomechanics" -- "knee"
"biomechanics" -- "human movement"
"biomechanics" -- "in silico medicine"
"biomechanics" -- "functional anatomy"
"biomechanics" -- "bone biomechanics"
"biomechanics" -- "head injury"
"biomechanics" -- "locomotion"
"biomechanics" -- "fes"
"biomechanics" -- "wearable systems"
"biomechanics" -- "injury"
"biomechanics" -- "insect flight"
"biomechanics" -- "sports medicine"
"biomechanics" -- "muscle physiology"
"biomechanics" -- "soft tissue mechanics"
"biomechanics" -- "orthopedics"
"biomechanics" -- "muscle mechanics"
"biomechanics" -- "mechanobiology"
"biomechanics" -- "anatomy"
"biomechanics" -- "running"
"biomechanics" -- "anterior cruciate ligament"
"biomechanics" -- "osteoarthritis"
"biomechanics" -- "human movement science"
"biomechanics" -- "breast health"
"biomechanics" -- "balance"
"biomechanics" -- "patellofemoral pain"
"biomechanics" -- "gait retraining"
"biomechanics" -- "neural control of movement"
"biomechanics" -- "kinesiology"
"biomechanics" -- "muscle"
"biomechanics" -- "golf"
"biomechanics" -- "footwear"
"biomechanics" -- "cardiac research"
