"perceptual decision making" -- "attention"
"brain science" -- "neuroscience"
"gastrointestinal" -- "surgery"
"fiber sensors" -- "fiber lasers"
"library automation" -- "people"
"dissociation" -- "ptsd"
"myogenesis" -- "stem cells"
"midwifery" -- "nursing"
"midwifery" -- "maternity care"
"avaliação" -- "ead"
"insect olfaction" -- "chemical ecology"
"freshwater" -- "ecology"
"mechanical testing" -- "composites"
"engineering education research" -- "computer science education research"
"engineering education research" -- "computing education research"
"engineering education research" -- "care ethics"
"engineering education research" -- "physics education research"
"diabetes" -- "adipose"
"diabetes" -- "metabolism"
"diabetes" -- "kidney disease"
"diabetes" -- "pediatric endocrinology"
"diabetes" -- "pituitary"
"diabetes" -- "nafld"
"diabetes" -- "glucose metabolism"
"diabetes" -- "chd"
"diabetes" -- "insulin"
"diabetes" -- "tumor markers"
"diabetes" -- "cardiovascular disease"
"diabetes" -- "peripheral neuropathy"
"diabetes" -- "diabetic neuropathy"
"diabetes" -- "er stress"
"diabetes" -- "lipid metabolism"
"diabetes" -- "endocrinology"
"diabetes" -- "metabolic disorders"
"diabetes" -- "obesità"
"diabetes" -- "retinopathy"
"diabetes" -- "lipid mediators"
"diabetes" -- "insulin resistance"
"diabetes" -- "adipocyte biology"
"diabetes" -- "periodontal disease"
"diabetes" -- "obesidade"
"diabetes" -- "glucose sensors"
"diabetes" -- "podiatry"
"diabetes" -- "insulin signaling"
"diabetes" -- "artificial pancreas"
"diabetes" -- "beta cells"
"diabetes" -- "hypertension"
"diabetes" -- "endothelial function"
"diabetes" -- "islet transplantation"
"diabetes" -- "nutrizione"
"diabetes" -- "insulin secretion"
"diabetes" -- "obesity"
"diabetes" -- "cardiovascular risk"
"diabetes" -- "islet biology"
"diabetes" -- "ipertensione"
"diabetes" -- "neuropathy"
"diabetes" -- "metabolismo"
"routing" -- "switching"
"routing" -- "placement"
"somatic embryogenesis" -- "seed development"
"asia" -- "china"
"análise de discurso" -- "psicanálise"
"heavy fermion" -- "nmr"
"instrument design" -- "biosensors"
"life writing" -- "biography"
"landscape limnology" -- "macrosystems ecology"
"transfusion" -- "epidemiology"
"crispr" -- "cas9"
"crispr" -- "genome editing"
"crispr" -- "cas"
"discourse theory" -- "population"
"politica agraria" -- "sviluppo rurale"
"politica agraria" -- "economia agraria"
"micromodel" -- "heavy oil recovery"
"micromodel" -- "production engineering"
"clock" -- "analog"
"quantum phase transitions" -- "condensed matter theory"
"audio signal processing" -- "machine learning"
"audio signal processing" -- "machine listening"
"audio signal processing" -- "audio content analysis"
"antimicrobial resistance" -- "sporulation"
"antimicrobial resistance" -- "microbiology"
"phylogenetic systematics" -- "evolution"
"complexity" -- "algorithms"
"complexity" -- "theory of computer science"
"complexity" -- "self-organization"
"complexity" -- "constraints"
"complexity" -- "wall-bounded turbulence"
"complexity" -- "approximation"
"complexity" -- "chaotic systems"
"forest governance" -- "policy"
"hybrid manufacturing" -- "additive manufacturing"
"environmental statistics" -- "multivariate statistical analysis"
"environmental statistics" -- "spatial statistics"
"quantitative modeling" -- "computational physics"
"youth justice" -- "children s rights"
"silence" -- "acoustics"
"critical discourse analysis" -- "discourse studies"
"critical discourse analysis" -- "systemic functional linguistics"
"reactive flows" -- "computational fluid dynamics"
"transparent conductors" -- "photovoltaics"
"mtbi" -- "concussion"
"mecânica dos fluidos" -- "transferência de calor"
"hispania romana" -- "sig"
"educación literaria" -- "literatura infantil y juvenil"
"crowdsensing" -- "internet of things"
"randomness" -- "algorithms"
"localization" -- "topology control"
"localization" -- "robotics"
"budgeting" -- "performance measurement"
"past climate" -- "chronology"
"radiobiologia" -- "radiologia odontológica"
"kenya" -- "gender"
"fast multipole methods" -- "boundary element method"
"turfgrass" -- "weed science"
"deep foundations" -- "geotechnical engineering"
"geographic information system (gis)" -- "remote sensing"
"listeria monocytogenes" -- "food microbiology"
"planejamento urbano e regional" -- "arquitetura e urbanismo"
"planejamento urbano e regional" -- "geografia urbana"
"intelligent products" -- "internet of things"
"global sociology" -- "political sociology"
"stress-related disorders" -- "trauma"
"molecular toxicology" -- "epigenetics"
"food engineering" -- "food packaging"
"food engineering" -- "modified atmosphere packaging"
"food engineering" -- "food processing"
"food engineering" -- "drying"
"food engineering" -- "food science"
"phase-field modeling" -- "ferroelectrics"
"radiative heat transfer" -- "electromagnetic scattering"
"radiative heat transfer" -- "casimir force"
"radiative heat transfer" -- "combustion diagnostics"
"radiative heat transfer" -- "cfd"
"diagnostic radiology" -- "emergency radiology"
"diagnostic radiology" -- "interventional radiology"
"reachability analysis" -- "differential-algebraic equations"
"water resources planning" -- "management"
"microwave theory" -- "antennas"
"microwave theory" -- "techniques"
"multidimensional scaling" -- "psychometrics"
"formal methods" -- "refinement"
"formal methods" -- "informatik"
"formal methods" -- "rewriting logic"
"formal methods" -- "automated verification"
"formal methods" -- "supervisory control theory"
"formal methods" -- "automata learning"
"formal methods" -- "concurrent systems"
"formal methods" -- "software verification"
"formal methods" -- "petri nets"
"formal methods" -- "verification"
"formal methods" -- "probabilistic model checking"
"formal methods" -- "protocol verification"
"formal methods" -- "security protocols"
"formal methods" -- "satisfiability modulo theories"
"formal methods" -- "decision procedures"
"formal methods" -- "software engineering"
"formal methods" -- "process algebra"
"formal methods" -- "model checking"
"formal methods" -- "runtime verification"
"formal methods" -- "hardware verification"
"migraine" -- "headache"
"wildland fire" -- "combustion"
"wildland fire" -- "natural resource sociology"
"parallel robots" -- "screw theory"
"parallel robots" -- "robotics"
"social-ecological systems" -- "marine resource management"
"social-ecological systems" -- "small-scale fisheries"
"marine mammal acoustics" -- "marine seismology"
"marine mammal acoustics" -- "mid-ocean ridges"
"green algae" -- "mitochondria"
"jazz" -- "popular music"
"mechanotransduction" -- "hair cell"
"mechanotransduction" -- "nucleus"
"mechanotransduction" -- "tissue engineering"
"mechanotransduction" -- "cartilage tissue engineering"
"dc converters" -- "power electronics"
"mantle petrology" -- "geochemistry"
"engineering economics" -- "systems engineering"
"visual sociology" -- "social change"
"acceptance" -- "mindfulness"
"acceptance" -- "contextual behavioral science"
"acceptance" -- "relational frame theory"
"acceptance" -- "commitment therapy"
"alpha-synuclein" -- "parkinson s disease"
"cancer chemotherapy" -- "drug delivery"
"alternative dispute resolution" -- "mediation"
"patient monitoring" -- "anesthesiology"
"patient monitoring" -- "respiratory mechanics"
"hematology" -- "clinical pathology"
"hematology" -- "thrombosis"
"hematology" -- "leukemia stem cells"
"hematology" -- "hematopathology"
"hematology" -- "oncology"
"hematology" -- "sickle cell disease"
"hematology" -- "hematopoietic stem cells"
"hematology" -- "transfusion medicine"
"hematology" -- "estrogen receptor"
"hematology" -- "myeloproliferative neoplasms"
"biologia celular" -- "microscopia eletrônica"
"biologia celular" -- "biologia molecular"
"biologia celular" -- "biologia da reprodução"
"atmospheric physics" -- "cloud physics"
"medieval archaeology" -- "environmental archaeology"
"hummingbirds" -- "ecology"
"metal oxides" -- "supercapacitors"
"exoplanet characterization" -- "astronomy"
"network security" -- "intrusion detection"
"network security" -- "p2p networks"
"network security" -- "wireless network security"
"network security" -- "penetration testing"
"network security" -- "botnets"
"network security" -- "network architecture"
"network security" -- "smart grid security"
"network security" -- "pki"
"network security" -- "moving target defense"
"network security" -- "industrial control systems"
"network security" -- "configuration management"
"network security" -- "internet security"
"network security" -- "android security"
"network security" -- "cyber security"
"network security" -- "ipv6"
"network security" -- "computational"
"adhd" -- "conduct problems"
"adhd" -- "school mental health"
"adhd" -- "school-based interventions"
"retrovirology" -- "virology"
"democratisation" -- "political parties"
"csr" -- "sustainability"
"csr" -- "sustainable business"
"fairy tales" -- "feminist theory"
"neuroeducation" -- "tecnologie didattiche"
"investigação operacional" -- "transportation"
"investigação operacional" -- "optimização"
"translation studies" -- "cognitive poetics"
"translation studies" -- "interpreting studies"
"translation studies" -- "literary translation"
"translation studies" -- "linguistics"
"translation studies" -- "translation technology"
"alternative fuels" -- "combustion engines"
"alternative fuels" -- "combustion"
"alternative fuels" -- "transportation operations"
"alternative fuels" -- "aircraft propulsion"
"alternative fuels" -- "fuel chemistry"
"alternative fuels" -- "biomass valorization"
"alternative fuels" -- "supercritical fluid technology"
"viral immunity" -- "hiv"
"viral immunity" -- "rna viruses"
"stroke" -- "intracerebral hemorrhage"
"stroke" -- "cerebral small vessel disease"
"stroke" -- "cerebrovascular disease"
"stroke" -- "ct perfusion"
"stroke" -- "neurological rehabilitation"
"stroke" -- "cerebral aneurysms"
"stroke" -- "subarachnoid hemorrhage"
"stroke" -- "cerebral ischemia"
"stroke" -- "vascular cognitive impairment"
"stroke" -- "tia"
"stroke" -- "vascular neurology"
"stroke" -- "neurorehabilitation"
"mobile mapping" -- "laser scanning"
"cellular physiology" -- "molecular"
"dft" -- "magnetismo molecular"
"dft" -- "md simulation"
"dft" -- "rare earth elements"
"dft" -- "computational catalysis"
"dft" -- "catalysis"
"dft" -- "md"
"dft" -- "molecular reaction dynamics"
"indonesia" -- "gender"
"indonesia" -- "timor-leste"
"spacecraft navigation" -- "astrodynamics"
"gravity field" -- "geodesy"
"asymptotic theory" -- "empirical processes"
"glacial geology" -- "geomorphology"
"scandinavia" -- "sustainability"
"national culture" -- "performance measurement"
"laser science" -- "ultrafast optics"
"apparel" -- "textiles"
"settler colonialism" -- "australian politics"
"media history" -- "media studies"
"ion beam" -- "materials science"
"ion beam" -- "ion beam analysis"
"structural rehabilitation" -- "structural engineering"
"knowledge synthesis" -- "systematic reviews"
"neoliberalism" -- "political economy"
"emi shielding" -- "polymer nanocomposites"
"semiclassical analysis" -- "mathematical physics"
"nanomanufacturing" -- "mems"
"speech prosody" -- "phonetics"
"cell proliferation" -- "cell migration"
"children adolescents" -- "psychology"
"value chains" -- "certification"
"value chains" -- "sustainability governance"
"value chains" -- "agribusiness"
"nonparametric estimation" -- "inference"
"lynch syndrome" -- "dna mismatch repair"
"stringology" -- "bioinformatics"
"risk mitigation" -- "damage mechanics"
"international entrepreneurship" -- "international business"
"spm" -- "surface science"
"applied computational mathematics" -- "complex systems"
"human origins" -- "tobacco history"
"wettability" -- "enhanced oil recovery"
"disaster studies" -- "technology studies"
"biomolecular simulations" -- "molecular dynamics"
"structural health monitoring (shm)" -- "active materials"
"classroom research" -- "self-regulated learning"
"decision under uncertainty" -- "game theory"
"city logistics" -- "transportation"
"biological physics" -- "statistical physics"
"biological physics" -- "biophysical modeling"
"terzo settore" -- "politiche sociali"
"germanium" -- "silicon"
"complex fluids" -- "carbon management"
"complex fluids" -- "suspension rheology"
"exercise oncology" -- "obesity"
"smart windows" -- "energy materials"
"health systems strengthening" -- "epidemiology"
"patient satisfaction" -- "medical error"
"cattle" -- "applied animal behaviour"
"acoustic modeling" -- "speech recognition"
"trauma" -- "child passenger safety"
"trauma" -- "sexual assault"
"trauma" -- "latino mental health"
"trauma" -- "prehospital care"
"trauma" -- "posttraumatic stress disorder"
"trauma" -- "acute care surgery"
"trauma" -- "orthopedic surgery"
"trauma" -- "coagulopathy"
"trauma" -- "sexual abuse"
"trauma" -- "trauma surgery"
"trauma" -- "grief"
"trauma" -- "ptsd"
"trauma" -- "surgery"
"trauma" -- "emergency surgery"
"spatial econometrics" -- "regional economics"
"tacs" -- "tdcs"
"laos" -- "southeast asia"
"pomology" -- "horticulture"
"peer review" -- "bibliometrics"
"mdo" -- "optimization"
"solid-liquid interfaces" -- "soft matter"
"attention" -- "visual perception"
"attention" -- "long-term memory"
"attention" -- "eye movements"
"attention" -- "orientalism"
"attention" -- "visual short-term memory"
"attention" -- "cognitive control"
"attention" -- "awareness"
"attention" -- "event-related potentials"
"attention" -- "vision research"
"attention" -- "multisensory"
"attention" -- "executive control"
"attention" -- "cognitive neuroscience"
"attention" -- "visual cognition"
"attention" -- "working memory"
"attention" -- "consciousness"
"attention" -- "working memory capacity"
"narrative research" -- "relationships"
"hard disk drives" -- "finite element analysis"
"organic farming" -- "rural development"
"compostos bioativos" -- "obesidade"
"resting-state fmri" -- "brain networks"
"superplasticity" -- "severe plastic deformation"
"superplasticity" -- "creep"
"cryo electron tomography" -- "structural biology"
"cell biology" -- "cilia"
"cell biology" -- "biochemistry"
"cell biology" -- "vesicular transport"
"cell biology" -- "cell division"
"cell biology" -- "theriogenology"
"cell biology" -- "mitosis"
"cell biology" -- "bone physiology"
"cell biology" -- "protein degradation"
"cell biology" -- "advanced microscopy"
"cell biology" -- "molecular"
"cell biology" -- "cellular microbiology"
"cell biology" -- "translational cancer research"
"cell biology" -- "cell polarity"
"cell biology" -- "protein quality control"
"cell biology" -- "bone biology"
"cell biology" -- "protein transport"
"cell biology" -- "membrane trafficking"
"cell biology" -- "cytoskeleton"
"cell biology" -- "microtubules"
"cell biology" -- "bladder"
"cell biology" -- "endocytosis"
"cell biology" -- "light microscopy"
"cell biology" -- "neurotoxins"
"cell biology" -- "molecular physiology"
"cell biology" -- "histology"
"cell biology" -- "intracellular trafficking"
"cell biology" -- "molecular neurobiology"
"native american studies" -- "early american literature"
"remanufacturing" -- "industrial engineering"
"remanufacturing" -- "closed loop supply chains"
"cost estimation" -- "systems engineering"
"digital electronics" -- "electronics"
"aristotle" -- "virtue ethics"
"aristotle" -- "plato"
"aristotle" -- "byzantium"
"aristotle" -- "ancient philosophy"
"parapsychology" -- "psychiatry"
"complexity science" -- "machine learning"
"nanoimprint" -- "polymers"
"electrolysis" -- "electrochemistry"
"acid" -- "chemistry"
"planetary astronomy" -- "planetary atmospheres"
"employee well-being" -- "organizational behavior"
"french history" -- "france"
"population connectivity" -- "marine ecology"
"financial economics" -- "derivative securities"
"financial economics" -- "macroeconomics"
"stereopsis" -- "binocular vision"
"gesture" -- "language development"
"historia sztuki" -- "filozofia"
"historia sztuki" -- "literatura"
"information culture" -- "popular culture"
"cancer microenvironment" -- "computational modeling"
"dispersal" -- "ecology"
"joining" -- "welding"
"joining" -- "tolerance analysis"
"critical phenomena" -- "statistical mechanics"
"neuroinformatics" -- "machine learning"
"climate extremes" -- "urban microclimate"
"climate extremes" -- "climate change"
"climate extremes" -- "outdoor thermal comfort"
"climate extremes" -- "statistical downscaling"
"climate extremes" -- "plant community"
"medieval manuscripts" -- "art history"
"narrativa audiovisual" -- "manga"
"regenerative medicine" -- "tissue engineering"
"regenerative medicine" -- "veterinary surgery"
"media studies" -- "colombia"
"media studies" -- "journalism studies"
"media studies" -- "communication studies"
"media studies" -- "television studies"
"media studies" -- "sound studies"
"media studies" -- "star studies"
"media studies" -- "political economy of media"
"media studies" -- "sport studies"
"media studies" -- "cultural studies"
"media studies" -- "critical race"
"media studies" -- "communication"
"thermal transport" -- "thermoelectrics"
"optimal power flow" -- "unit commitment"
"optimal power flow" -- "power system stability"
"icn" -- "sdn"
"infant speech perception" -- "language development"
"mechanical metamaterials" -- "acoustics"
"relaxation" -- "glass transition"
"política educativa" -- "educación"
"política educativa" -- "educación comparada"
"psychiatric genomics" -- "epidemiology"
"psychiatric genomics" -- "neurogenomics"
"condensed matter physics" -- "superconductivity"
"condensed matter physics" -- "mesoscopic physics"
"condensed matter physics" -- "soft"
"condensed matter physics" -- "oxide interfaces"
"condensed matter physics" -- "nanoscale physics"
"condensed matter physics" -- "surface physics"
"condensed matter physics" -- "majorana fermion"
"condensed matter physics" -- "ellipsometry"
"condensed matter physics" -- "2d semiconductors"
"condensed matter physics" -- "topological insulators"
"condensed matter physics" -- "high temperature superconductivity"
"condensed matter physics" -- "photoemission spectroscopy"
"condensed matter physics" -- "quantum materials"
"condensed matter physics" -- "solid state electronics"
"condensed matter physics" -- "spin qubits"
"condensed matter physics" -- "transition metal oxides"
"condensed matter physics" -- "electronic structure calculations"
"condensed matter physics" -- "strongly correlated materials"
"condensed matter physics" -- "general physics"
"condensed matter physics" -- "strong correlations"
"condensed matter physics" -- "arpes"
"condensed matter physics" -- "materials science"
"condensed matter physics" -- "quantum magnetism"
"condensed matter physics" -- "strongly correlated electrons"
"condensed matter physics" -- "quantum transport"
"condensed matter physics" -- "cold atom physics"
"condensed matter physics" -- "correlated electron systems"
"condensed matter physics" -- "computational physics"
"condensed matter physics" -- "ultrafast science"
"derecho internacional público" -- "international relations"
"financial time series" -- "econometrics"
"sports engineering" -- "sports technology"
"sports engineering" -- "biomechanics"
"tractography" -- "diffusion mri"
"islamic philosophy" -- "jewish philosophy"
"islamic philosophy" -- "religious studies"
"online behaviour" -- "urban systems"
"space systems" -- "control theory"
"cultura digital" -- "tecnologia"
"cultura digital" -- "sociología de la comunicación"
"engineering mechanics" -- "mechanics"
"kinetics" -- "thermodynamics"
"tem" -- "multilayer"
"tem" -- "fib"
"tem" -- "zoologie"
"tem" -- "sem"
"foucault" -- "sociology"
"chemical vapor deposition" -- "pulsed laser deposition"
"chemical vapor deposition" -- "physical vapor deposition"
"system simulation" -- "applied stochastic processes"
"qsar" -- "qspr"
"qsar" -- "chemometrics"
"phospholipids" -- "biophysics"
"capture" -- "chemical reactors"
"diagrams" -- "grounded theory"
"experimental mechanics" -- "photomechanics"
"experimental mechanics" -- "solid mechanics"
"model-based development" -- "software engineering"
"aerosol optical properties" -- "black carbon"
"critical legal theory" -- "feminist legal theory"
"vaccines" -- "immunology"
"vaccines" -- "respiratory diseases"
"vaccines" -- "tumour immunology"
"vaccines" -- "immune response"
"vaccines" -- "otitis media"
"functional observers" -- "time-delay systems"
"object recognition" -- "computer vision"
"object recognition" -- "perceptual expertise"
"ecosystems" -- "biodiversity"
"shoulder" -- "knee"
"shoulder" -- "elbow"
"educational linguistics" -- "sociolinguistics"
"invasion" -- "metastasis"
"product configuration" -- "mass customization"
"product configuration" -- "complexity management"
"federal courts" -- "constitutional law"
"rf energy harvesting" -- "antennas"
"implant dentistry" -- "periodontology"
"electro-optics" -- "silicon photonics"
"quasi-monte carlo" -- "machine learning"
"quasi-monte carlo" -- "discrepancy theory"
"media art" -- "hci"
"media art" -- "sound art"
"macroinvertebrates" -- "freshwater ecology"
"agricultural finance" -- "agricultural economics"
"celiac disease" -- "gastroenterology"
"vasculitis" -- "lupus"
"french literature" -- "comparative literature"
"biochemical engineering" -- "molecular techniques"
"biochemical engineering" -- "bioseparation"
"biochemical engineering" -- "biotechnology"
"daylighting" -- "architectural lighting"
"daylighting" -- "building performance simulation"
"pharmacology toxicology" -- "autophagy"
"renal medicine" -- "nutrition"
"radiocarbon dating" -- "archaeology"
"molecular mechanisms" -- "computational chemistry"
"cytokine biology" -- "immunology"
"informática educativa" -- "educación"
"assurance" -- "auditing"
"noncommutative geometry" -- "mathematical physics"
"noncommutative geometry" -- "index theory"
"pid control" -- "process control"
"bioengenharia" -- "prótese dentária"
"enseñanza de la historia" -- "didáctica de las ciencias sociales"
"biblioteconomia" -- "ciência da informação"
"regional integration" -- "international political economy"
"software design" -- "software engineering"
"coffee" -- "environment"
"hadoop" -- "big data"
"longitudinal data" -- "biostatistics"
"laser-matter interaction" -- "photonics"
"clinical pharmacokinetics" -- "systems pharmacology"
"string theory" -- "theoretical high energy physics"
"string theory" -- "particle phenomenology"
"string theory" -- "gravity duality"
"string theory" -- "quantum field theory"
"string theory" -- "ads"
"string theory" -- "supersymmetry"
"string theory" -- "supergravity"
"psicofarmacologia" -- "psichiatria"
"canadian studies" -- "stosunki międzynarodowe"
"canadian studies" -- "postcolonial studies"
"system in package" -- "antennas"
"scenario planning" -- "technology management"
"moleküler biyoloji" -- "genetik"
"moleküler biyoloji" -- "biyokimya"
"biocultural diversity" -- "development"
"institutional ethnography" -- "health human resources"
"anthropological genetics" -- "statistical genetics"
"univhelsinkics" -- "machine learning"
"pulmonary hypertension" -- "pulmonary embolism"
"pulmonary hypertension" -- "sickle cell"
"pulmonary hypertension" -- "hypoxia"
"pulmonary hypertension" -- "adult congenital heart disease"
"pulmonary hypertension" -- "acute lung injury"
"stuttering" -- "speech"
"stuttering" -- "speech motor control"
"machine learning" -- "human-machine systems"
"machine learning" -- "social media analysis"
"machine learning" -- "multi-armed bandits"
"machine learning" -- "data minning"
"machine learning" -- "submodular optimization"
"machine learning" -- "computational learning theory"
"machine learning" -- "cyber-physical security"
"machine learning" -- "bayesian methods"
"machine learning" -- "speech recognition"
"machine learning" -- "statistical machine translation"
"machine learning" -- "natural language processing"
"machine learning" -- "dynamic modeling"
"machine learning" -- "statistical relational learning"
"machine learning" -- "meta-learning"
"machine learning" -- "malware detection"
"machine learning" -- "kernel methods"
"machine learning" -- "semiconductor manufacturing"
"machine learning" -- "gesture recognition"
"machine learning" -- "biomedical informatics"
"machine learning" -- "data science"
"machine learning" -- "text categorization"
"machine learning" -- "data"
"machine learning" -- "signal processing"
"machine learning" -- "high-dimensional data"
"machine learning" -- "collective intelligence"
"machine learning" -- "human motion analysis"
"machine learning" -- "risk stratification"
"machine learning" -- "informatique"
"machine learning" -- "large-scale data analysis"
"machine learning" -- "intelligence computing"
"machine learning" -- "neural"
"machine learning" -- "random forests"
"machine learning" -- "radiomics"
"machine learning" -- "kalman filter"
"machine learning" -- "neural computation"
"machine learning" -- "cluster analysis"
"machine learning" -- "semi-supervised learning"
"machine learning" -- "active learning"
"machine learning" -- "healthcare"
"machine learning" -- "indoor localization"
"machine learning" -- "content-based image retrieval"
"machine learning" -- "mobile healthcare"
"machine learning" -- "inference"
"machine learning" -- "crowdsourcing"
"machine learning" -- "nlp"
"machine learning" -- "computational neuroscience"
"machine learning" -- "adaptive signal processing"
"machine learning" -- "information retrieval"
"machine learning" -- "multimedia search"
"machine learning" -- "cognitive systems"
"machine learning" -- "statistical finance"
"machine learning" -- "statistical estimation"
"machine learning" -- "spoken language processing"
"machine learning" -- "signal analysis"
"machine learning" -- "computer-aided detection"
"machine learning" -- "behavioral signal processing"
"machine learning" -- "text analysis"
"machine learning" -- "spoken dialogue systems"
"machine learning" -- "statistical learning theory"
"machine learning" -- "imitation learning"
"machine learning" -- "grammatical inference"
"machine learning" -- "production systems"
"machine learning" -- "bayesian modeling"
"machine learning" -- "graph signal processing"
"machine learning" -- "auditory models"
"machine learning" -- "predictive modeling"
"machine learning" -- "large-scale optimization"
"machine learning" -- "unsupervised learning"
"machine learning" -- "applied math"
"machine learning" -- "matrix factorization"
"machine learning" -- "sparse coding"
"machine learning" -- "computational harmonic analysis"
"machine learning" -- "digital image processing"
"machine learning" -- "2d"
"machine learning" -- "smartphone security"
"machine learning" -- "brain-machine interfaces"
"machine learning" -- "fuzzy clustering"
"machine learning" -- "metric learning"
"machine learning" -- "cytometry"
"machine learning" -- "web intelligence"
"machine learning" -- "sar image processing"
"machine learning" -- "indoor positioning"
"machine learning" -- "failure prediction"
"machine learning" -- "spoken dialog systems"
"machine learning" -- "sparse"
"machine learning" -- "feature selection"
"machine learning" -- "pattern classification"
"machine learning" -- "chemical informatics"
"machine learning" -- "intelligent systems"
"machine learning" -- "wearable sensors"
"machine learning" -- "multimedia information retrieval"
"machine learning" -- "neurotechnology"
"machine learning" -- "visual signal processing"
"machine learning" -- "handwriting recognition"
"machine learning" -- "intelligent robotics"
"machine learning" -- "high dimensional data analysis"
"machine learning" -- "nature inspired algorithms"
"machine learning" -- "time series forecasting"
"machine learning" -- "algorithmic trading"
"machine learning" -- "computational social science"
"machine learning" -- "sign language recognition"
"machine learning" -- "manifold learning"
"machine learning" -- "spatio-temporal modeling"
"machine learning" -- "large-scale"
"machine learning" -- "music informatics"
"machine learning" -- "sports analytics"
"machine learning" -- "time series prediction"
"machine learning" -- "image annotation"
"machine learning" -- "human-robot collaboration"
"machine learning" -- "engineering informatics"
"machine learning" -- "optimization methods"
"machine learning" -- "statistical network analysis"
"machine learning" -- "image segmentation"
"machine learning" -- "distributed optimization"
"machine learning" -- "data clustering"
"machine learning" -- "data ming"
"machine learning" -- "radiogenomics"
"machine learning" -- "data analytics"
"machine learning" -- "audio analysis"
"machine learning" -- "sparse modeling"
"machine learning" -- "computational epidemiology"
"machine learning" -- "non-negative matrix factorization"
"machine learning" -- "computational advertising"
"machine learning" -- "applied statistics"
"machine learning" -- "big data analytics"
"machine learning" -- "ensemble methods"
"machine learning" -- "computational ecology"
"machine learning" -- "bayesian inference"
"machine learning" -- "medical image processing"
"machine learning" -- "structured prediction"
"machine learning" -- "big data"
"machine learning" -- "hypothesis testing"
"machine learning" -- "bioinformatics"
"machine learning" -- "learning theory"
"machine learning" -- "probabilistic graphical models"
"machine learning" -- "intelligent transportation systems"
"machine learning" -- "big data analysis"
"machine learning" -- "network data analysis"
"machine learning" -- "support vector machines"
"machine learning" -- "variable selection"
"machine learning" -- "affective computing"
"machine learning" -- "sequential decision making"
"machine learning" -- "tensor analysis"
"machine learning" -- "web accessibility"
"machine learning" -- "aviation safety"
"machine learning" -- "biological databases"
"machine learning" -- "human activity recognition"
"machine learning" -- "molecular design"
"machine learning" -- "robot motion planning"
"machine learning" -- "mobile health"
"machine learning" -- "digital signal processing"
"machine learning" -- "language identification"
"machine learning" -- "regression"
"machine learning" -- "statistical data analysis"
"machine learning" -- "statistical analysis"
"machine learning" -- "aritificial intelligence"
"machine learning" -- "reservoir computing"
"machine learning" -- "multivariate statistics"
"machine learning" -- "computational models of cognition"
"machine learning" -- "noise analysis"
"machine learning" -- "emotion recognition"
"machine learning" -- "resistive memory"
"machine learning" -- "simulation-based optimization"
"machine learning" -- "information fusion"
"machine learning" -- "speech separation"
"machine learning" -- "ai"
"machine learning" -- "optimization algorithms"
"machine learning" -- "cognitive computing"
"machine learning" -- "public safety"
"machine learning" -- "computational statistics"
"machine learning" -- "neural systems"
"machine learning" -- "predictive analytics"
"machine learning" -- "causal discovery"
"machine learning" -- "dimensionality reduction"
"machine learning" -- "bayesian optimization"
"machine learning" -- "digital health"
"machine learning" -- "retrieval"
"machine learning" -- "biosignal processing"
"machine learning" -- "materials informatics"
"machine learning" -- "computational sustainability"
"machine learning" -- "network analysis"
"machine learning" -- "traffic estimation"
"machine learning" -- "optimization"
"machine learning" -- "multimedia computing"
"machine learning" -- "video summarization"
"machine learning" -- "computational physiology"
"machine learning" -- "svm"
"machine learning" -- "hyperspectral analysis"
"machine learning" -- "classification"
"machine learning" -- "computational finance"
"machine learning" -- "bayesian nonparametrics"
"machine learning" -- "medical applications"
"machine learning" -- "neural signal processing"
"machine learning" -- "topic modeling"
"machine learning" -- "natural language processing (nlp)"
"machine learning" -- "numerical optimization"
"machine learning" -- "statistical inference"
"machine learning" -- "medical image analysis"
"machine learning" -- "interactive learning"
"machine learning" -- "data fusion"
"machine learning" -- "human pose estimation"
"machine learning" -- "time series analysis"
"machine learning" -- "nonlinear dynamical systems"
"machine learning" -- "hardware acceleration"
"machine learning" -- "text as data"
"machine learning" -- "data processing"
"machine learning" -- "mobile crowdsourcing"
"machine learning" -- "computational cognitive science"
"machine learning" -- "speech technology"
"machine learning" -- "probabilistic modeling"
"machine learning" -- "handwritten text recognition"
"machine learning" -- "scalable algorithms"
"machine learning" -- "hyperspectral image processing"
"machine learning" -- "segmentation"
"machine learning" -- "statistical pattern recognition"
"machine learning" -- "bio-inspired engineering"
"machine learning" -- "bayesian statistics"
"machine learning" -- "distributed learning"
"machine learning" -- "nonconvex optimization"
"machine learning" -- "multimedia retrieval"
"machine learning" -- "nonparametric statistics"
"machine learning" -- "speech"
"machine learning" -- "speaker recognition"
"machine learning" -- "human behaviour"
"machine learning" -- "statistical signal processing"
"machine learning" -- "algorithm development"
"machine learning" -- "apis"
"machine learning" -- "relational learning"
"machine learning" -- "dmml"
"machine learning" -- "brain computer interface"
"machine learning" -- "quantitative text analysis"
"machine learning" -- "medical imaging informatics"
"machine learning" -- "large scale data mining"
"machine learning" -- "algorithms"
"machine learning" -- "deep neural networks"
"machine learning" -- "data analysis"
"machine learning" -- "tensor decomposition"
"machine learning" -- "computer vison"
"machine learning" -- "sensing systems"
"machine learning" -- "bayesian networks"
"machine learning" -- "ensemble learning"
"machine learning" -- "change point analysis"
