"teacher professional development" -- "mathematics education"
"landscape ecology" -- "urban ecology"
"landscape ecology" -- "conservation ecology"
"landscape ecology" -- "ecosystem services"
"cultural history" -- "history"
"punishment" -- "criminology"
"phycology" -- "ecology"
"computational biophysics" -- "computational chemistry"
"ictd" -- "hci"
"plasticity" -- "reconstructive surgery"
"plasticity" -- "neuroscience"
"molecular diagnostics" -- "infectious diseases"
"special functions" -- "orthogonal polynomials"
"social psychology" -- "social neuroscience"
"social psychology" -- "cross-cultural psychology"
"social psychology" -- "morality"
"social psychology" -- "quantitative methods"
"social psychology" -- "psychology of religion"
"social psychology" -- "social norms"
"social psychology" -- "attitudes"
"social psychology" -- "group processes"
"social psychology" -- "prejudice"
"social psychology" -- "cultural psychology"
"social psychology" -- "psychology"
"social psychology" -- "personality"
"social psychology" -- "evolutionary psychology"
"social psychology" -- "intergroup relations"
"social psychology" -- "personality psychology"
"social psychology" -- "positive psychology"
"social psychology" -- "social identity"
"social psychology" -- "close relationships"
"social psychology" -- "behavior change"
"social psychology" -- "social cognition"
"invasive species" -- "ecology"
"robot vision" -- "computer vision"
"obesity prevention" -- "physical activity"
"galaxy formation" -- "cosmology"
"alcohol" -- "smoking"
"alcohol" -- "addiction"
"intelligent agents" -- "artificial intelligence"
"fuzzy logic" -- "artificial intelligence"
"erosion" -- "hydrology"
"biotechnology" -- "applied microbiology"
"biotechnology" -- "microbiology"
"valuation" -- "financial accounting"
"wireless power transfer" -- "power electronics"
"change" -- "climate variability"
"change" -- "language variation"
"plant genetics" -- "plant breeding"
"biology education" -- "science education"
"neuroethics" -- "bioethics"
"host-parasite interactions" -- "evolution"
"metabolomics" -- "lc-ms"
"financial intermediation" -- "corporate finance"
"ndt" -- "ultrasonics"
"radiation oncology" -- "lung cancer"
"static analysis" -- "programming languages"
"body" -- "gender"
"economic theory" -- "game theory"
"photonics" -- "optical communications"
"photonics" -- "optics"
"photonics" -- "optical sensors"
"photonics" -- "optoelectronics"
"photonics" -- "fiber optics"
"photonics" -- "semiconductor lasers"
"photonics" -- "optical materials"
"drug" -- "gene delivery"
"cancer biology" -- "therapeutics"
"cancer biology" -- "tumor immunology"
"cancer biology" -- "molecular pharmacology"
"cancer biology" -- "mouse models"
"cancer biology" -- "signal transduction"
"cancer biology" -- "tumor microenvironment"
"cancer biology" -- "molecular biology"
"data center networks" -- "cloud computing"
"literature" -- "science fiction"
"literature" -- "literary theory"
"financial engineering" -- "risk management"
"resource allocation" -- "wireless communications"
"academic libraries" -- "information literacy"
"parasites" -- "ecology"
"commutative algebra" -- "algebraic geometry"
"natural products chemistry" -- "medicinal chemistry"
"anonymity" -- "privacy"
"classics" -- "ancient history"
"quantum dynamics" -- "theoretical chemistry"
"pyrolysis" -- "gasification"
"computational electromagnetics" -- "bioelectromagnetics"
"spinal cord injury" -- "neuroscience"
"fungal biology" -- "plant pathology"
"biomolecular engineering" -- "chemical"
"teams" -- "groups"
"teams" -- "leadership"
"sea ice" -- "arctic"
"relationship marketing" -- "services marketing"
"neuromorphic computing" -- "memristor"
"neuromorphic computing" -- "computer architecture"
"mesoscale meteorology" -- "data assimilation"
"plasma physics" -- "space physics"
"plasma physics" -- "nuclear fusion"
"plasma physics" -- "plasma processing"
"plasma physics" -- "plasma diagnostics"
"plasma physics" -- "magnetohydrodynamics"
"plasma physics" -- "astrophysics"
"plasma physics" -- "mhd"
"plasma physics" -- "fusion"
"creative industries" -- "innovation"
"mathematical programming" -- "operations research"
"supercapacitors" -- "batteries"
"supercapacitors" -- "carbon materials"
"supercapacitors" -- "li-ion batteries"
"type theory" -- "programming languages"
"performance" -- "distributed systems"
"performance" -- "theatre"
"wildlife ecology" -- "conservation biology"
"american political development" -- "american politics"
"intelligent transportation systems" -- "transportation engineering"
"intelligent transportation systems" -- "sustainable transportation"
"intelligent transportation systems" -- "traffic flow theory"
"intelligent transportation systems" -- "machine learning"
"genome engineering" -- "synthetic biology"
"learning theory" -- "machine learning"
"web services" -- "cloud computing"
"optimisation" -- "artificial intelligence"
"protein aggregation" -- "amyloid"
"protein aggregation" -- "neurodegeneration"
"cancer immunology" -- "immunotherapy"
"quantum foundations" -- "quantum information"
"ict" -- "education"
"agriculture" -- "rural development"
"agriculture" -- "food"
"agriculture" -- "climate change"
"computational biomechanics" -- "finite element analysis"
"stem cells" -- "muscular dystrophy"
"stem cells" -- "heart disease"
"stem cells" -- "cancer stem cells"
"stem cells" -- "differentiation"
"stem cells" -- "hematopoiesis"
"stem cells" -- "disease modeling"
"stem cells" -- "tissue regeneration"
"stem cells" -- "tissue engineering"
"stem cells" -- "heart"
"stem cells" -- "regeneration"
"stem cells" -- "reprogramming"
"research" -- "education"
"silviculture" -- "forest ecology"
"neuro-oncology" -- "neurosurgery"
"plant-microbe interactions" -- "plant pathology"
"political sociology" -- "social movements"
"political sociology" -- "cultural sociology"
"veterinary" -- "epidemiology"
"diversity" -- "gender"
"diversity" -- "equity"
"diversity" -- "equality"
"diversity" -- "justice"
"diversity" -- "inclusion"
"health services" -- "health policy"
"conducting polymers" -- "electrochemistry"
"internal waves" -- "physical oceanography"
"politics" -- "gender"
"politics" -- "history"
"politics" -- "religion"
"carbon nanomaterials" -- "nanotechnology"
"fpgas" -- "embedded systems"
"antimicrobials" -- "microbiology"
"biomineralization" -- "biomaterials"
"aptamers" -- "biosensors"
"systems neuroscience" -- "computational neuroscience"
"green communications" -- "wireless communications"
"glycomics" -- "proteomics"
"user interfaces" -- "user experience"
"e-government" -- "information systems"
"employment" -- "work"
"diffusion" -- "adoption"
"diffusion" -- "mri"
"meg" -- "eeg"
"qualitative research" -- "gender"
"membrane processes" -- "water treatment"
"neurodegenerative diseases" -- "prions"
"neurodegenerative diseases" -- "neuroscience"
"metabolic syndrome" -- "obesity"
"organometallics" -- "catalysis"
"incentives" -- "compensation"
"clinical microbiology" -- "infectious diseases"
"electricity markets" -- "smart grid"
"metasurfaces" -- "metamaterials"
"ocean engineering" -- "coastal"
"occupational health psychology" -- "organizational psychology"
"fisheries management" -- "fisheries"
"fisheries management" -- "fisheries ecology"
"cardiology" -- "cardiovascular imaging"
"cardiology" -- "cardiomyopathy"
"cardiology" -- "cardiac electrophysiology"
"cardiology" -- "echocardiography"
"cardiology" -- "internal medicine"
"cardiology" -- "arrhythmia"
"cardiology" -- "interventional cardiology"
"cardiology" -- "heart failure"
"molecular phylogenetics" -- "molecular evolution"
"counseling" -- "psychotherapy"
"econometric theory" -- "applied econometrics"
"primatology" -- "conservation biology"
"primatology" -- "biological anthropology"
"wastewater treatment" -- "membrane technology"
"wastewater treatment" -- "anaerobic digestion"
"wastewater treatment" -- "water"
"wastewater treatment" -- "solid waste management"
"wastewater treatment" -- "environmental engineering"
"wastewater treatment" -- "microbial fuel cell"
"energy transfer" -- "ultrafast spectroscopy"
"bibliometrics" -- "scientometrics"
"bibliometrics" -- "informetrics"
"bibliometrics" -- "information science"
"urban studies" -- "human geography"
"urban studies" -- "geography"
"quantum photonics" -- "quantum optics"
"stochastic modeling" -- "applied probability"
"phenotypic plasticity" -- "evolution"
"process systems engineering" -- "optimization"
"origin of life" -- "astrobiology"
"ozone" -- "atmospheric chemistry"
"climate impacts" -- "climate change"
"agronomy" -- "crop science"
"agronomy" -- "crop physiology"
"agronomy" -- "soil science"
"agronomy" -- "weed science"
"complex adaptive systems" -- "agent-based modeling"
"surface physics" -- "condensed matter physics"
"accounting education" -- "auditing"
"microfluidics" -- "point-of-care diagnostics"
"microfluidics" -- "single cell analysis"
"microfluidics" -- "diagnostics"
"microfluidics" -- "dielectrophoresis"
"microfluidics" -- "electrokinetics"
"microfluidics" -- "optofluidics"
"microfluidics" -- "nanofluidics"
"microfluidics" -- "lab-on-a-chip"
"microfluidics" -- "biomems"
"microfluidics" -- "mems"
"statistical genetics" -- "bioinformatics"
"statistical genetics" -- "psychiatric genetics"
"statistical genetics" -- "genetic epidemiology"
"intensive care" -- "anesthesia"
"family medicine" -- "medical education"
"brain networks" -- "neuroimaging"
"analytical chemistry" -- "bioanalysis"
"analytical chemistry" -- "environmental chemistry"
"analytical chemistry" -- "chemical oceanography"
"analytical chemistry" -- "separation science"
"analytical chemistry" -- "chemometrics"
"analytical chemistry" -- "method development"
"analytical chemistry" -- "clinical chemistry"
"analytical chemistry" -- "chromatography"
"microbial pathogenesis" -- "microbiology"
"autoimmune diseases" -- "immunology"
"carbon cycle" -- "climate change"
"biomedical devices" -- "mems"
"optogenetics" -- "neuroscience"
"protein crystallography" -- "structural biology"
"animal science" -- "animal nutrition"
"animal science" -- "nutrition"
"multivariate analysis" -- "machine learning"
"cybercrime" -- "criminology"
"neuromodulation" -- "neuroscience"
"microbiology" -- "immunology"
"microbiology" -- "pathogens"
"microbiology" -- "pathogenesis"
"microbiology" -- "biofilms"
"microbiology" -- "antibiotics"
"microbiology" -- "bacterial genetics"
"microbiology" -- "food safety"
"microbiology" -- "microbiota"
"microbiology" -- "host-pathogen interactions"
"microbiology" -- "probiotics"
"microbiology" -- "bacteriology"
"microbiology" -- "enzymes"
"microbiology" -- "microbial physiology"
"microbiology" -- "antimicrobial resistance"
"microbiology" -- "molecular biology"
"microbiology" -- "bacteriophage"
"microbiology" -- "microbial ecology"
"microbiology" -- "bacteria"
"microbiology" -- "antibiotic resistance"
"microbiology" -- "molecular genetics"
"microbiology" -- "host-microbe interactions"
"microbiology" -- "microbial genetics"
"microbiology" -- "mycology"
"mechanics" -- "materials"
"particle physics" -- "high energy physics"
"particle physics" -- "cosmology"
"particle physics" -- "nuclear"
"particle physics" -- "nuclear physics"
"suicide prevention" -- "mental health"
"pharmacoepidemiology" -- "epidemiology"
"metabolism" -- "diabetes"
"metabolism" -- "mitochondria"
"metabolism" -- "skeletal muscle"
"violence" -- "aggression"
"violence" -- "criminology"
"lymphoma" -- "leukemia"
"harmonic analysis" -- "geometric measure theory"
"harmonic analysis" -- "partial differential equations"
"harmonic analysis" -- "functional analysis"
"biocatalysis" -- "protein engineering"
"histology" -- "cell biology"
"psychoacoustics" -- "cochlear implants"
"clinical informatics" -- "biomedical informatics"
"herpetology" -- "conservation biology"
"regional economics" -- "urban"
"regional economics" -- "spatial econometrics"
"cell adhesion" -- "cell migration"
"nlp" -- "machine learning"
"materials science" -- "materials processing"
"materials science" -- "failure analysis"
"materials science" -- "chemistry"
"materials science" -- "engineering"
"materials science" -- "solid state chemistry"
"materials science" -- "optical spectroscopy"
"materials science" -- "nuclear engineering"
"materials science" -- "transmission electron microscopy"
"materials science" -- "nuclear materials"
"materials science" -- "deformation"
"materials science" -- "metallurgy"
"materials science" -- "characterization"
"materials science" -- "polymer science"
"materials science" -- "condensed matter physics"
"materials science" -- "chemical engineering"
"materials science" -- "mechanical engineering"
"materials science" -- "physics"
"materials science" -- "nanoindentation"
"materials science" -- "first-principles calculations"
"materials science" -- "physical metallurgy"
"materials science" -- "thermoelectric materials"
"materials science" -- "electrical engineering"
"materials science" -- "electrochemistry"
"materials science" -- "electron microscopy"
"materials science" -- "nanostructured materials"
"materials science" -- "radiation effects"
"materials science" -- "ceramics"
"materials science" -- "powder metallurgy"
"materials science" -- "microstructure"
"materials science" -- "high pressure"
"materials science" -- "nanotechnology"
"materials science" -- "applied physics"
"materials science" -- "phase transformation"
"materials science" -- "metals"
"parallel programming" -- "computer architecture"
"quaternary geology" -- "geomorphology"
"dementia" -- "long-term care"
"dementia" -- "aging"
"dementia" -- "caregiving"
"experimental economics" -- "behavioural economics"
"experimental economics" -- "behavioral economics"
"experimental economics" -- "game theory"
"family" -- "gender"
"family" -- "marriage"
"family" -- "social demography"
"breastfeeding" -- "nutrition"
"music theory" -- "music cognition"
"benthic ecology" -- "marine ecology"
"quantum control" -- "quantum information"
"neural stem cells" -- "neuroscience"
"political violence" -- "terrorism"
"micromechanics" -- "computational mechanics"
"social support" -- "stress"
"elastography" -- "ultrasound"
"bone tissue engineering" -- "biomaterials"
"victimization" -- "criminology"
"fuzzy systems" -- "machine learning"
"anxiety" -- "clinical psychology"
"anxiety" -- "depression"
"anxiety" -- "cbt"
"hydrogels" -- "biomaterials"
"systematics" -- "taxonomy"
"systematics" -- "evolution"
"systematics" -- "ichthyology"
"medical ethics" -- "bioethics"
"economic geology" -- "geochemistry"
"cognition" -- "aging"
"cognition" -- "language"
"cognition" -- "music perception"
"cognition" -- "neuroscience"
"campaigns" -- "elections"
"perovskite" -- "photovoltaics"
"cognitive modeling" -- "artificial intelligence"
"mobile systems" -- "wireless networks"
"mathematics education" -- "problem solving"
"mathematics education" -- "teacher education"
"mathematics education" -- "statistics education"
"social cognition" -- "developmental psychology"
"social cognition" -- "prosocial behavior"
"vaccinology" -- "immunology"
"crystal engineering" -- "supramolecular chemistry"
"non-coding rna" -- "epigenetics"
"substance abuse" -- "mental health"
"pharmacology" -- "cardiovascular physiology"
"pharmacology" -- "toxicology"
"pharmacology" -- "neuroscience"
"pharmacology" -- "pharmacokinetics"
"online algorithms" -- "approximation algorithms"
"consumer psychology" -- "marketing"
"molecular electronics" -- "nanoscience"
"probabilistic graphical models" -- "machine learning"
"marketing communication" -- "advertising"
"characterization" -- "nanomaterials synthesis"
"characterization" -- "fabrication"
"characterization" -- "polymer synthesis"
"characterization" -- "materials synthesis"
"network science" -- "complex systems"
"radiochemistry" -- "organic chemistry"
"ribosome" -- "structural biology"
"distributed algorithms" -- "distributed systems"
"comparative education" -- "education policy"
"electrospinning" -- "tissue engineering"
"psychosis" -- "schizophrenia"
"language testing" -- "applied linguistics"
"animal behaviour" -- "behavioural ecology"
"animal behaviour" -- "animal cognition"
"animal behaviour" -- "bioacoustics"
"animal behaviour" -- "social learning"
"animal behaviour" -- "comparative cognition"
"brain-machine interfaces" -- "machine learning"
"pavement engineering" -- "geotechnical engineering"
"mathematical optimization" -- "operations research"
"geometric group theory" -- "topology"
"tropical meteorology" -- "tropical cyclones"
"chronobiology" -- "sleep"
"branding" -- "marketing"
"branding" -- "digital marketing"
"theoretical chemistry" -- "computational chemistry"
"hiv" -- "epidemiology"
"hiv" -- "drug abuse"
"hiv" -- "aids"
"hiv" -- "sexual health"
"hiv" -- "hcv"
"hiv" -- "stigma"
"hiv" -- "implementation science"
"hiv" -- "adolescent health"
"hiv" -- "adherence"
"statistical machine learning" -- "optimization"
"pathology" -- "immunology"
"pathology" -- "molecular pathology"
"game theory" -- "microeconomics"
"game theory" -- "social choice"
"game theory" -- "microeconomic theory"
"game theory" -- "information economics"
"game theory" -- "contract theory"
"game theory" -- "mechanism design"
"game theory" -- "optimization"
"game theory" -- "auction theory"
"game theory" -- "decision theory"
"quantum information processing" -- "quantum optics"
"nmr spectroscopy" -- "structural biology"
"geoenvironmental engineering" -- "geotechnical engineering"
"numerical weather prediction" -- "data assimilation"
"geostatistics" -- "hydrogeology"
"music technology" -- "music education"
"marine biology" -- "ecology"
"marine biology" -- "invertebrates"
"plant biotechnology" -- "molecular biology"
"bose-einstein condensation" -- "superfluidity"
"bose-einstein condensation" -- "quantum gases"
"education policy" -- "sociology of education"
"education policy" -- "economics of education"
"education policy" -- "educational leadership"
"education policy" -- "urban education"
"alzheimer" -- "aging"
"neurology" -- "movement disorders"
"neurology" -- "neuroscience"
"composites" -- "polymers"
"composites" -- "wood"
"composites" -- "impact"
"composites" -- "textiles"
"sound" -- "music computing"
"sound" -- "music information retrieval"
"numerical analysis" -- "numerical linear algebra"
"numerical analysis" -- "pdes"
"numerical analysis" -- "computational mathematics"
"numerical analysis" -- "scientific computing"
"numerical analysis" -- "finite element method"
"numerical analysis" -- "partial differential equations"
"numerical analysis" -- "approximation theory"
"numerical analysis" -- "applied mathematics"
"mathematical statistics" -- "probability theory"
"applied probability" -- "queueing theory"
"marine microbiology" -- "microbial ecology"
"evolutionary genetics" -- "genomics"
"uncertainty analysis" -- "hydrology"
"music education" -- "music"
"robust control" -- "robotics"
"fire ecology" -- "forest ecology"
"magnetic materials" -- "magnetism"
"data centers" -- "cloud computing"
"production planning" -- "scheduling"
"pollination ecology" -- "community ecology"
"amyotrophic lateral sclerosis" -- "neurodegeneration"
"plasma" -- "combustion"
"physical layer security" -- "wireless communications"
"granular materials" -- "discrete element method"
"strategic management" -- "entrepreneurship"
"categorization" -- "cognitive science"
"evidence-based medicine" -- "meta-analysis"
"economic history" -- "economics"
"economic history" -- "early modern history"
"economic history" -- "social history"
"economic history" -- "history of economic thought"
"economic history" -- "business history"
"computer aided diagnosis" -- "medical image analysis"
"celestial mechanics" -- "dynamical systems"
"celestial mechanics" -- "astrodynamics"
"welfare state" -- "social policy"
"computational neuroscience" -- "visual neuroscience"
"computational neuroscience" -- "sensory systems"
"computational neuroscience" -- "neural coding"
"computational neuroscience" -- "theoretical neuroscience"
"computational neuroscience" -- "machine learning"
"cancer genetics" -- "bioinformatics"
"survey methodology" -- "political science"
"decision making" -- "neuroeconomics"
"decision making" -- "expertise"
"decision making" -- "judgment"
"vanet" -- "manet"
"vanet" -- "wireless networks"
"drug delivery systems" -- "biomaterials"
"zooplankton" -- "limnology"
"cscw" -- "cscl"
"cscw" -- "hci"
"missing data" -- "biostatistics"
"solar energy conversion" -- "photocatalysis"
"embedded systems" -- "fpga"
"embedded systems" -- "computer architecture"
"embedded systems" -- "real-time"
"embedded systems" -- "cyber-physical systems"
"embedded systems" -- "real-time systems"
"embedded systems" -- "design automation"
"embedded systems" -- "hardware"
"drug abuse" -- "behavioral pharmacology"
"super-resolution" -- "image processing"
"self-efficacy" -- "motivation"
"uncertainty quantification" -- "inverse problems"
"uncertainty quantification" -- "model reduction"
"optoelectronic devices" -- "nanomaterials"
"algebraic geometry" -- "number theory"
"algebraic geometry" -- "computer algebra"
"algebraic geometry" -- "representation theory"
"nuclear magnetic resonance" -- "biophysics"
"audiology" -- "hearing"
"social interaction" -- "language"
"social interaction" -- "conversation analysis"
"solar fuels" -- "artificial photosynthesis"
"clean energy" -- "fuel cells"
"computational topology" -- "computational geometry"
"depression" -- "stress"
"depression" -- "developmental psychopathology"
"musicology" -- "music"
"musicology" -- "ethnomusicology"
"microalgae" -- "biofuels"
"infrastructure" -- "urban"
"zeolites" -- "catalysis"
"soft materials" -- "solid mechanics"
"quantum information" -- "quantum simulation"
"quantum information" -- "quantum physics"
"quantum information" -- "quantum optics"
"quantum information" -- "quantum mechanics"
"quantum information" -- "quantum metrology"
"quantum information" -- "quantum thermodynamics"
"quantum information" -- "quantum cryptography"
"quantum information" -- "quantum"
"quantum information" -- "open quantum systems"
"quantum information" -- "quantum computing"
"amphibians" -- "conservation biology"
"developmental psychology" -- "educational psychology"
"developmental psychology" -- "cognitive development"
"developmental psychology" -- "comparative psychology"
"information behavior" -- "information science"
"coal" -- "energy"
"mixed reality" -- "virtual reality"
"nems" -- "mems"
"organizational behaviour" -- "human resource management"
"emg" -- "eeg"
"neuroanatomy" -- "neuroscience"
"biodegradation" -- "microbial ecology"
"psychoanalysis" -- "clinical psychology"
"values" -- "sustainability"
"eda" -- "vlsi"
"nutritional epidemiology" -- "obesity"
"augmented reality" -- "wearable computing"
"augmented reality" -- "computer vision"
"elderly" -- "nutrition"
"thermal transport" -- "thermoelectrics"
"energy systems" -- "optimization"
"new media" -- "social media"
"vascular disease" -- "surgery"
"landslides" -- "natural hazards"
"metamaterials" -- "phononic crystals"
"metamaterials" -- "terahertz"
"fea" -- "cfd"
"functional foods" -- "food chemistry"
"39;s disease" -- "parkinson&"
"39;s disease" -- "alzheimer s disease"
"fluidization" -- "multiphase flow"
"women s studies" -- "gender"
"mathematical physics" -- "differential geometry"
"mathematical physics" -- "noncommutative geometry"
"mathematical physics" -- "spectral theory"
"mathematical physics" -- "quantum field theory"
"human rights" -- "international law"
"human rights" -- "constitutional law"
"human rights" -- "international relations"
"human rights" -- "transitional justice"
"online social networks" -- "privacy"
"power management" -- "energy harvesting"
"color" -- "image processing"
"human-robot interaction" -- "social robotics"
"human-robot interaction" -- "robotics"
"natural resources" -- "economics"
"network-on-chip" -- "computer architecture"
"optimization" -- "operations research"
"optimization" -- "model predictive control"
"optimization" -- "stochastics"
"optimization" -- "stochastic programming"
"optimization" -- "process design"
"optimization" -- "convex analysis"
"optimization" -- "machine learning"
"optimization" -- "reliability"
"optimization" -- "optimal control"
"optimization" -- "process control"
"optimization" -- "robust design"
"real options" -- "corporate finance"
"speech perception" -- "phonetics"
"speech perception" -- "speech production"
"structural dynamics" -- "earthquake engineering"
"structural dynamics" -- "nonlinear vibration"
"structural dynamics" -- "vibration"
"structural dynamics" -- "structural health monitoring"
"structural dynamics" -- "wind engineering"
"structural dynamics" -- "vibration control"
"structural dynamics" -- "aeroelasticity"
"planet formation" -- "astrophysics"
"applied microeconomics" -- "industrial organization"
"enterprise systems" -- "information systems"
"music psychology" -- "music"
"forestry" -- "agroforestry"
"metallurgy" -- "steel"
"metallurgy" -- "solidification"
"metallurgy" -- "welding"
"laser material processing" -- "additive manufacturing"
"robust optimization" -- "operations research"
"spatial databases" -- "gis"
"learning memory" -- "neuroscience"
"scheduling" -- "operations research"
"antitrust" -- "industrial organization"
"nde" -- "ultrasonics"
"nde" -- "shm"
"theoretical physics" -- "condensed matter physics"
"millimeter wave" -- "microwave"
"life history" -- "ecology"
"homogenization" -- "heterogeneous catalysis"
"technology studies" -- "science"
"dental implants" -- "dentistry"
"global governance" -- "international relations"
"shape analysis" -- "computer vision"
"infertility" -- "reproductive biology"
"complexity theory" -- "cryptography"
"plant systematics" -- "evolution"
"cybernetics" -- "robotics"
"snow" -- "hydrology"
"elasticity" -- "fracture mechanics"
"brain connectivity" -- "neuroimaging"
"life cycle assessment" -- "waste management"
"life cycle assessment" -- "sustainability"
"life cycle assessment" -- "industrial ecology"
"formal semantics" -- "logic"
"photodetectors" -- "solar cells"
"web search" -- "information retrieval"
"infection control" -- "infectious diseases"
"motor drives" -- "power electronics"
"legislative politics" -- "comparative politics"
"reliability" -- "electronic packaging"
"mortality" -- "demography"
"experimental evolution" -- "population genetics"
"dna repair" -- "meiosis"
"dna repair" -- "dna replication"
"dna repair" -- "genomic instability"
"dna repair" -- "recombination"
"educational technology" -- "learning sciences"
"educational technology" -- "game-based learning"
"educational technology" -- "faculty development"
"educational technology" -- "learning analytics"
"educational technology" -- "education"
"educational technology" -- "learning design"
"educational technology" -- "online learning"
"educational technology" -- "instructional design"
"educational technology" -- "e-learning"
"functional mri" -- "magnetic resonance imaging"
"care" -- "early childhood education"
"compilers" -- "computer architecture"
"compilers" -- "programming languages"
"algorithmic game theory" -- "algorithms"
"marine protected areas" -- "fisheries"
"underwater acoustics" -- "signal processing"
"electrochemical energy storage" -- "nanomaterials"
"ornithology" -- "ecology"
"ornithology" -- "biodiversity conservation"
"evolutionary ecology" -- "conservation biology"
"evolutionary ecology" -- "ecological genomics"
"quantum technologies" -- "quantum optics"
"motor control" -- "electromyography"
"motor control" -- "motor learning"
"motor control" -- "neuroscience"
"game design" -- "artificial intelligence"
"game design" -- "game studies"
"physical oceanography" -- "climate"
"physical oceanography" -- "coastal oceanography"
"physical oceanography" -- "geophysical fluid dynamics"
"physical oceanography" -- "air-sea interaction"
"physical oceanography" -- "ocean modeling"
"transcription factors" -- "gene regulation"
"art education" -- "teacher education"
"predictive analytics" -- "machine learning"
"rna structure" -- "bioinformatics"
"physiological ecology" -- "ecology"
"physiological ecology" -- "energetics"
"fracture mechanics" -- "composite materials"
"fracture mechanics" -- "computational mechanics"
"fracture mechanics" -- "damage mechanics"
"surface" -- "interfaces"
"trade" -- "development"
"insect ecology" -- "entomology"
"occupational therapy" -- "rehabilitation"
"south asia" -- "india"
"hearing" -- "deafness"
"hearing" -- "cochlear implants"
"hearing" -- "tinnitus"
"hearing" -- "neuroscience"
"hearing" -- "auditory neuroscience"
"conflict resolution" -- "international relations"
"electrodeposition" -- "electrochemistry"
"systems pharmacology" -- "systems biology"
"network coding" -- "information theory"
"channel modeling" -- "wireless communications"
"human vision" -- "computer vision"
"materials physics" -- "condensed matter"
"co2 capture" -- "energy"
"geotechnical engineering" -- "slope stability"
"geotechnical engineering" -- "soil mechanics"
"geotechnical engineering" -- "geomechanics"
"geotechnical engineering" -- "soil dynamics"
"geotechnical engineering" -- "rock mechanics"
"geotechnical engineering" -- "civil engineering"
"geotechnical engineering" -- "offshore engineering"
"intercultural communication" -- "applied linguistics"
"plant cell walls" -- "biofuels"
"conservation" -- "restoration"
"conservation" -- "ecology"
"conservation" -- "primates"
"conservation" -- "coral reef ecology"
"high performance computing" -- "supercomputing"
"high performance computing" -- "heterogeneous computing"
"high performance computing" -- "computer architecture"
"high performance computing" -- "performance analysis"
"high performance computing" -- "parallel computing"
"high performance computing" -- "scientific computing"
"high performance computing" -- "gpgpu"
"high performance computing" -- "parallel algorithms"
"stochastic geometry" -- "wireless communications"
"meteoritics" -- "cosmochemistry"
"comparative literature" -- "cultural studies"
"surgical oncology" -- "surgery"
"surgical oncology" -- "general surgery"
"cold atoms" -- "quantum optics"
"knowledge representation" -- "artificial intelligence"
"knowledge representation" -- "computational logic"
"knowledge representation" -- "reasoning"
"academic librarianship" -- "information literacy"
"cognitive science" -- "embodied cognition"
"cognitive science" -- "psycholinguistics"
"cognitive science" -- "artificial intelligence"
"cognitive science" -- "philosophy of mind"
"cataloging" -- "metadata"
"quantitative biology" -- "systems biology"
"asymmetric catalysis" -- "organic synthesis"
"small business" -- "entrepreneurship"
"structural biology" -- "cryo-em"
"structural biology" -- "synchrotron radiation"
"structural biology" -- "protein biochemistry"
"structural biology" -- "molecular biophysics"
"structural biology" -- "x-ray crystallography"
"structural biology" -- "membrane proteins"
"structural biology" -- "nmr"
"structural biology" -- "biochemistry"
"structural biology" -- "protein design"
"spectroscopy" -- "luminescence"
"spectroscopy" -- "biophysical chemistry"
"spectroscopy" -- "physical chemistry"
"stem" -- "eels"
"periodontology" -- "dentistry"
"neurosurgery" -- "brain tumors"
"neurosurgery" -- "neuroscience"
"neurosurgery" -- "spine surgery"
"social inequality" -- "sociology"
"behavioural neuroscience" -- "addiction"
"consciousness" -- "attention"
"epr" -- "nmr"
"heterogeneous catalysis" -- "surface science"
"plant biochemistry" -- "plant biology"
"video coding" -- "multimedia communications"
"video coding" -- "image processing"
"video coding" -- "multimedia signal processing"
"pharmacogenomics" -- "personalized medicine"
"pharmacogenomics" -- "pharmacogenetics"
"metal forming" -- "manufacturing"
"coping" -- "stress"
"microsystems" -- "mems"
"addiction" -- "impulsivity"
"addiction" -- "gambling"
"addiction" -- "behavioral neuroscience"
"addiction" -- "neuroscience"
"addiction" -- "reward"
"ipm" -- "entomology"
"development" -- "ict4d"
"development" -- "growth"
"development" -- "africa"
"development" -- "evolution"
"development" -- "training"
"cancer immunotherapy" -- "immunology"
"competition" -- "innovation"
"experimental fluid mechanics" -- "turbulence"
"kidney disease" -- "hypertension"
"fpga" -- "dsp"
"fpga" -- "gpu"
"technological innovation" -- "entrepreneurship"
"linked data" -- "semantic web"
"neurotrauma" -- "neuroscience"
"social media analysis" -- "machine learning"
"segregation" -- "housing"
"nursing" -- "nursing education"
"nursing" -- "enfermera"
"nursing" -- "mental health"
"ngos" -- "civil society"
"audio signal processing" -- "machine learning"
"adolescent health" -- "child"
"power system stability" -- "control"
"integrated photonics" -- "quantum optics"
"vision science" -- "optometry"
"vision science" -- "ophthalmology"
"statistical analysis" -- "machine learning"
"surface plasmon" -- "nanophotonics"
"olfaction" -- "neuroscience"
"information literacy" -- "information behaviour"
"information literacy" -- "digital literacy"
"information literacy" -- "library"
"information literacy" -- "library instruction"
"bci" -- "eeg"
"p2p" -- "distributed systems"
"technology policy" -- "science"
"vascular" -- "tissue engineering"
"ancient history" -- "archaeology"
"livelihoods" -- "natural resource management"
"ultrafast optics" -- "nonlinear optics"
"green chemistry" -- "catalysis"
"graphs" -- "algorithms"
"natural products" -- "medicinal plants"
